,account_value,date,daily_return,datadate
0,1000000.0,2023-07-12,,2020-10-30
1,999935.5556808471,2023-07-13,-6.444431915286764e-05,2020-11-02
2,997741.8665439608,2023-07-14,-0.0021938305168003,2020-11-03
3,999264.168179512,2023-07-17,0.0015257469758429,2020-11-04
4,1002485.8093662264,2023-07-18,0.0032240135184506,2020-11-05
5,1006963.9888708228,2023-07-19,0.0044670752072069,2020-11-06
6,1006656.9744385262,2023-07-20,-0.0003048911735572,2020-11-09
7,1003820.3099585152,2023-07-21,-0.00281790575344,2020-11-10
8,1010571.254977272,2023-07-24,0.0067252524697731,2020-11-11
9,1008365.5574515152,2023-07-25,-0.0021826244462161,2020-11-12
10,1023277.577234566,2023-07-26,0.0147883073483174,2020-11-13
11,1018189.92093116,2023-07-27,-0.0049719220049316,2020-11-16
12,1027412.5805533524,2023-07-28,0.0090578971885304,2020-11-17
13,1035058.4433577652,2023-07-31,0.0074418621585252,2020-11-18
14,1043813.7799628372,2023-08-01,0.008458784778055,2020-11-19
15,1029400.0719740984,2023-08-02,-0.0138086967861759,2020-11-20
16,1025609.6039145584,2023-08-03,-0.0036822107970817,2020-11-23
17,1018317.8382399676,2023-08-04,-0.0071096893464723,2020-11-24
18,1030366.5173514482,2023-08-07,0.011831943484664,2020-11-25
19,1027750.3461707232,2023-08-08,-0.0025390685126783,2020-11-27
20,1023024.1813376542,2023-08-09,-0.0045985533847572,2020-11-30
21,1025890.9932807084,2023-08-10,0.0028022914759509,2020-12-01
22,1026521.0846999284,2023-08-11,0.0006141894444409,2020-12-02
23,1030622.8562033768,2023-08-14,0.0039957985905838,2020-12-03
24,1012022.0736830828,2023-08-15,-0.0180480982042412,2020-12-04
25,1005430.2736380692,2023-08-16,-0.0065134943361696,2020-12-07
26,995596.1028693316,2023-08-17,-0.0097810569530133,2020-12-08
27,999347.8966582414,2023-08-18,0.0037683893881235,2020-12-09
28,1001846.7940886612,2023-08-21,0.0025005280331065,2020-12-10
29,997934.688371956,2023-08-22,-0.0039048941812146,2020-12-11
30,1003783.8627265092,2023-08-23,0.0058612797237218,2020-12-14
31,982790.086847603,2023-08-24,-0.0209146377606452,2020-12-15
32,995574.4601615068,2023-08-25,0.0130082440645193,2020-12-16
33,1003538.4023116227,2023-08-28,0.0079993435637391,2020-12-17
34,1011954.9374030228,2023-08-29,0.0083868590100915,2020-12-18
35,1017752.0633109208,2023-08-30,0.0057286403708598,2020-12-21
36,1013948.7166274186,2023-08-31,-0.0037370070969242,2020-12-22
37,1018896.7800963518,2023-09-01,0.0048799938180219,2020-12-23
38,1010250.0027297136,2023-09-05,-0.0084864115144426,2020-12-24
39,1005371.7253630754,2023-09-06,-0.0048287823345281,2020-12-28
40,1000705.2472975848,2023-09-07,-0.0046415449607014,2020-12-29
41,999183.6448538896,2023-09-08,-0.0015205300939553,2020-12-30
42,998891.4503653642,2023-09-11,-0.0002924332178877,2020-12-31
43,999313.9779914018,2023-09-12,0.0004229965386959,2021-01-04
44,991863.4830878372,2023-09-13,-0.0074556096158484,2021-01-05
45,998646.0392249224,2023-09-14,0.0068381952282079,2021-01-06
46,992421.6317504044,2023-09-15,-0.0062328465042016,2021-01-07
47,993214.5133269426,2023-09-18,0.0007989362093403,2021-01-08
48,989523.4486525652,2023-09-19,-0.0037162814526476,2021-01-11
49,982496.9503958818,2023-09-20,-0.0071008911069782,2021-01-12
50,968155.9891188736,2023-09-21,-0.014596443552552,2021-01-13
51,963529.574575722,2023-09-22,-0.0047785838182567,2021-01-14
52,966419.5359862444,2023-09-25,0.0029993489424493,2021-01-15
53,953384.8755591508,2023-09-26,-0.0134875796087787,2021-01-19
54,955570.8843978044,2023-09-27,0.0022928922984764,2021-01-20
55,956668.407057106,2023-09-28,0.0011485517999989,2021-01-21
56,954288.435964882,2023-09-29,-0.0024877701350516,2021-01-22
57,950194.0446150895,2023-10-02,-0.0042905176207574,2021-01-25
58,944574.869520485,2023-10-03,-0.0059137132319964,2021-01-26
59,943037.8191702958,2023-10-04,-0.0016272403594322,2021-01-27
60,943206.255457222,2023-10-05,0.0001786103202885,2021-01-28
61,952739.1269248124,2023-10-06,0.0101068789699334,2021-01-29
62,959006.682424843,2023-10-09,0.0065784592265676,2021-02-01
