account_rewards,date
2742.9362322082743,2021-10-04
6318.178740154253,2021-10-05
13520.644997863797,2021-10-06
1498.3716630553827,2021-10-07
-16384.955790294567,2021-10-08
-8314.263819564832,2021-10-11
-2909.8408722267486,2021-10-12
24535.682927391026,2021-10-13
21111.770272422815,2021-10-14
-8039.227072776761,2021-10-15
6541.730032539461,2021-10-18
9271.978697566781,2021-10-19
-11597.641067451332,2021-10-20
8038.455762252677,2021-10-21
3430.765120292781,2021-10-22
3523.896354759112,2021-10-25
-24556.92783447262,2021-10-26
-2781.819584396202,2021-10-27
7797.468743846752,2021-10-28
-6163.165216800757,2021-10-29
-5162.634250625502,2021-11-01
9682.387486907886,2021-11-02
-3775.457975566853,2021-11-03
7124.521700656973,2021-11-04
12461.344047592254,2021-11-05
-2658.950008796761,2021-11-08
-6241.8907437515445,2021-11-09
-5853.4767720184755,2021-11-10
1232.6759138947818,2021-11-11
-14297.10130194109,2021-11-12
-2125.282459259033,2021-11-15
-2191.745635986328,2021-11-16
-2121.632881164551,2021-11-17
-16808.50637435913,2021-11-18
-2335.79931640625,2021-11-19
17574.425872802734,2021-11-22
4681.9708251953125,2021-11-23
-20989.470859527588,2021-11-24
25325.924575805664,2021-11-26
-21079.39037322998,2021-11-29
-1339.525058746338,2021-11-30
6658.488174438477,2021-12-01
12728.618030548096,2021-12-02
21974.19277572632,2021-12-03
10689.705463409424,2021-12-06
8154.210975646973,2021-12-07
6993.16633605957,2021-12-08
10240.238452911377,2021-12-09
-2163.3503494262695,2021-12-10
4736.843681335449,2021-12-13
26418.30109024048,2021-12-14
6801.036487579346,2021-12-15
-8220.13166809082,2021-12-16
-7126.465057373047,2021-12-17
8383.78052520752,2021-12-20
13648.629215240479,2021-12-21
3881.2155570983887,2021-12-22
9887.891971588135,2021-12-23
7572.316234588623,2021-12-27
5405.658954620361,2021-12-28
-2018.3597564697266,2021-12-29
-4639.789585113525,2021-12-30
