account_rewards,date
7757.840068817139,2024-01-05
-3428.462499717716,2024-01-08
8520.588488845853,2024-01-09
503.6350493696518,2024-01-10
802.7719216309488,2024-01-11
-10541.893669128418,2024-01-12
-6515.77356338501,2024-01-16
11595.76290512085,2024-01-17
17012.91042327881,2024-01-18
1876.9545059204102,2024-01-19
5073.102062225342,2024-01-22
349.97110748291016,2024-01-23
10791.318870544434,2024-01-24
2436.241371154785,2024-01-25
13726.269023895264,2024-01-26
3752.6784172058105,2024-01-29
-17484.6452293396,2024-01-30
23549.625480651855,2024-01-31
9197.172065734863,2024-02-01
-8582.456829071045,2024-02-02
3765.891086578369,2024-02-05
7323.259872436523,2024-02-06
1481.8275451660156,2024-02-07
-1245.5406188964844,2024-02-08
1345.467716217041,2024-02-09
-22070.944553375244,2024-02-12
10239.618637084961,2024-02-13
9823.796924591064,2024-02-14
-7664.456394195557,2024-02-15
-8749.648105621338,2024-02-16
4002.1098098754883,2024-02-20
19931.652709960938,2024-02-21
2939.366386413574,2024-02-22
-2456.707736968994,2024-02-23
-1008.6564636230469,2024-02-26
4267.120143890381,2024-02-27
5181.596492767334,2024-02-28
5133.170547485352,2024-02-29
-5382.707427978516,2024-03-01
-20929.740272521973,2024-03-04
2061.9917373657227,2024-03-05
8119.570693969727,2024-03-06
-1436.525936126709,2024-03-07
-1811.7897415161133,2024-03-08
9895.124935150146,2024-03-11
-2163.944080352783,2024-03-12
2197.793167114258,2024-03-13
-10249.952228546143,2024-03-14
6229.992839813232,2024-03-15
10513.429759979248,2024-03-18
14627.147491455078,2024-03-19
12315.33875656128,2024-03-20
-15424.114162445068,2024-03-21
-5018.928867340088,2024-03-22
-2653.386432647705,2024-03-25
17507.271682739258,2024-03-26
1402.4255714416504,2024-03-27
-4775.622791290283,2024-03-28
-7169.559188842773,2024-04-01
-681.0455131530762,2024-04-02
-21450.30031967163,2024-04-03
16406.048343658447,2024-04-04
