account_rewards,date
8297.490049674874,2023-01-04
22940.795359031763,2023-01-05
-17248.73519920744,2023-01-06
6694.403684105026,2023-01-09
-1760.218433414586,2023-01-10
4501.81195048918,2023-01-11
4245.982025920879,2023-01-12
-3322.572830791585,2023-01-13
-26241.595488121035,2023-01-17
1985.3247865450103,2023-01-18
10480.904137763893,2023-01-19
366.9705386389978,2023-01-20
-2473.296023853123,2023-01-23
1409.485778734088,2023-01-24
2647.725507190684,2023-01-25
-10737.087695068214,2023-01-26
-4479.62983906758,2023-01-27
5914.187602623133,2023-01-30
-3827.5708147317637,2023-01-31
-19915.415116721997,2023-02-01
-2974.733183559496,2023-02-02
6701.426721527241,2023-02-03
7857.944615402026,2023-02-06
-5522.926310409559,2023-02-07
-5498.130288024899,2023-02-08
8782.576045059366,2023-02-09
12087.154914855957,2023-02-10
-4440.9995742493775,2023-02-13
-4928.652810333297,2023-02-14
-12176.239462360274,2023-02-15
15741.563832561485,2023-02-16
-10823.027811588254,2023-02-17
-138.90380793390796,2023-02-21
3400.307096328819,2023-02-22
-8209.100641666446,2023-02-23
324.6680679321289,2023-02-24
-13086.360614906298,2023-02-27
-3984.9648094177246,2023-02-28
9537.575839996338,2023-03-01
6358.917010223493,2023-03-02
22976.9269068297,2023-03-03
-9418.147064208984,2023-03-06
-15356.329292251496,2023-03-07
-13240.914014970884,2023-03-08
-4383.717878959607,2023-03-09
-7589.312542125583,2023-03-10
16851.961857377784,2023-03-13
835.6045269318856,2023-03-14
4019.581475929357,2023-03-15
-16434.130017608637,2023-03-16
15156.285438621417,2023-03-17
3355.9953400287777,2023-03-20
-11305.243095142301,2023-03-21
4090.6716537475586,2023-03-22
5456.015977996634,2023-03-23
13391.512874778826,2023-03-24
-5240.952281875536,2023-03-27
5579.752265930176,2023-03-28
3476.6706771850586,2023-03-29
9006.792256347602,2023-03-30
18528.09773836145,2023-03-31
-1089.3381209718063,2023-04-03
