account_value,date,daily_return
1083233.629086867,2024-01-10,
1079099.1030182978,2024-01-11,-0.0038168368831518196
1084979.4621374002,2024-01-12,0.005449322590163064
1072598.4346535136,2024-01-16,-0.011411301242049365
1072536.1398445077,2024-01-17,-5.807840753191407e-05
1077507.3644948069,2024-01-18,0.0046350183137138234
1091512.5067792002,2024-01-19,0.012997723028055352
1097944.9144215647,2024-01-22,0.005893114006860989
1098490.7581944529,2024-01-23,0.0004971504177655461
1087504.4312748972,2024-01-24,-0.010001292079701685
1106862.327194697,2024-01-25,0.01780029153270335
1110277.1066403452,2024-01-26,0.003085098626766758
1115932.8829503122,2024-01-29,0.005094022272584819
1119715.1350026194,2024-01-30,0.0033893185782889468
1110988.771889216,2024-01-31,-0.007793377833892445
1136278.5725026194,2024-02-01,0.022763326914995163
1132348.076210505,2024-02-02,-0.0034590956718100196
1128235.45455218,2024-02-05,-0.003631941224370161
1117748.0491871897,2024-02-06,-0.009295404893256864
1075035.2496151987,2024-02-07,-0.03821326246380041
1073418.3453412119,2024-02-08,-0.0015040476808231285
1066944.0047459665,2024-02-09,-0.006031516624757649
1075123.3837246958,2024-02-12,0.007666174553065508
1060276.8397145334,2024-02-13,-0.013809153660789608
1061984.8470883432,2024-02-14,0.0016109069913001761
1068973.8874669138,2024-02-15,0.006581111206748869
1054378.7199978891,2024-02-16,-0.013653436852054446
1052453.0249676767,2024-02-20,-0.0018263788842554085
1052009.1681790415,2024-02-21,-0.0004217354866254963
1061627.618740565,2024-02-22,0.009142934161089356
1070812.5476002756,2024-02-23,0.008651742567329812
1063317.2122845713,2024-02-26,-0.006999670794390345
1047077.5892987314,2024-02-27,-0.015272604259784828
1044037.99071551,2024-02-28,-0.002902935383477301
1038137.2287106577,2024-02-29,-0.005651865216904972
1053487.3429379526,2024-03-01,0.014786209185811972
1049982.2421040598,2024-03-04,-0.0033271409071872204
1038039.1924634043,2024-03-05,-0.011374525360279275
1040856.3824582163,2024-03-06,0.0027139533991260567
1033040.6666112009,2024-03-07,-0.007508928204443377
1036346.8220105234,2024-03-08,0.003200411664497249
1040230.2539639536,2024-03-11,0.0037472319796343356
1045719.1338887278,2024-03-12,0.005276600929321251
1044389.7684979502,2024-03-13,-0.0012712451629665056
1030684.9230809275,2024-03-14,-0.013122347451500871
1022611.1337628427,2024-03-15,-0.007833421385412875
1029448.7351117197,2024-03-18,0.006686413948689296
1034902.2416577402,2024-03-19,0.00529750181822175
1042576.7336278025,2024-03-20,0.007415668515481144
1048897.8364720407,2024-03-21,0.0060629617373515465
1041878.6592145029,2024-03-22,-0.006691955129916938
1049291.1769490305,2024-03-25,0.007114569118937597
1050833.5505757395,2024-03-26,0.0014699195615022198
1066575.2653279367,2024-03-27,0.01498021712722486
1061978.8045735422,2024-03-28,-0.004309551237325238
1055205.5371098581,2024-04-01,-0.006377968594584171
1037485.835838801,2024-04-02,-0.016792653798605173
1033779.1526799265,2024-04-03,-0.0035727554351406843
1014074.2086300913,2024-04-04,-0.019061077018967643
1021672.6543469492,2024-04-05,0.00749298784269703
1020970.9360241953,2024-04-08,-0.0006868328321877337
1023567.9684681955,2024-04-09,0.002543688906673003
1009121.154488093,2024-04-10,-0.014114171628214045
