account_rewards,date
5712.702693649335,2023-10-05
5560.153175456915,2023-10-06
3978.2034459514543,2023-10-09
340.7713655300904,2023-10-10
-6856.606943927705,2023-10-11
32.18523482698947,2023-10-12
8175.260099323234,2023-10-13
2153.614651338663,2023-10-16
-12467.565219842829,2023-10-17
-11775.042377996491,2023-10-18
-3755.5958738576155,2023-10-19
-6749.147970661055,2023-10-20
8163.500002170447,2023-10-23
2470.2483312608674,2023-10-24
3430.6488870428875,2023-10-25
-12894.784550041193,2023-10-26
14420.831443923991,2023-10-27
9836.905179897323,2023-10-30
-630.7965510559734,2023-10-31
15827.179700386012,2023-11-01
-3684.3589345091023,2023-11-02
4271.2285096053965,2023-11-03
6639.470322662266,2023-11-06
-575.7975521851331,2023-11-07
-7263.716298030689,2023-11-08
5980.73293088912,2023-11-09
1156.8818740844727,2023-11-10
9864.90587234497,2023-11-13
920.4429969787598,2023-11-14
2084.0412940979004,2023-11-15
-1284.8755978699774,2023-11-16
2231.755844116211,2023-11-17
-1746.1253726962022,2023-11-20
5182.92565460247,2023-11-21
4264.918936981121,2023-11-22
-1284.4209438934922,2023-11-24
3946.3029435884673,2023-11-27
1241.2592191351578,2023-11-28
23609.319541698555,2023-11-29
10530.765411376953,2023-11-30
-861.4559097290039,2023-12-01
1449.9374771118164,2023-12-04
-2800.4026947021484,2023-12-05
1452.9892196655273,2023-12-06
4331.9511642456055,2023-12-07
5231.598762512207,2023-12-08
7627.381156921387,2023-12-11
16665.836807250977,2023-12-12
1636.5234985351562,2023-12-13
5275.849189758301,2023-12-14
-1510.5132369995117,2023-12-15
8156.641471862793,2023-12-18
-17828.438385009766,2023-12-19
12536.006889343262,2023-12-20
-2902.6311416625977,2023-12-21
5908.769317626953,2023-12-22
3837.08251953125,2023-12-26
2479.775245666504,2023-12-27
-318.90274810791016,2023-12-28
469.3664245605469,2023-12-29
-10877.517280578613,2024-01-02
2680.161231994629,2024-01-03
