account_rewards,date
13971.222044067457,2022-07-06
647.91516090394,2022-07-07
-6299.851347335847,2022-07-08
-8706.596041488461,2022-07-11
-5567.067134979414,2022-07-12
-1346.3901170347817,2022-07-13
17206.078830306884,2022-07-14
-12691.784067062195,2022-07-15
27100.640264968853,2022-07-18
5187.84175288002,2022-07-19
4341.081192016602,2022-07-20
-8556.587791442871,2022-07-21
5647.450878143311,2022-07-22
1103.7383003234863,2022-07-25
18330.527683258057,2022-07-26
5236.372177124023,2022-07-27
30517.0373878479,2022-07-28
-9544.088691711426,2022-07-29
-19129.49207687378,2022-08-01
14477.63981628418,2022-08-02
-1884.949562072754,2022-08-03
2029.3354415893555,2022-08-04
1389.2542304992676,2022-08-05
85.83415985107422,2022-08-08
20784.60947036743,2022-08-09
346.5314483642578,2022-08-10
15645.23433303833,2022-08-11
1854.8418159484863,2022-08-12
2681.9118995666504,2022-08-15
-1809.9392776489258,2022-08-16
1810.4188766479492,2022-08-17
-7688.089733123779,2022-08-18
-22989.198974609375,2022-08-19
4582.690132141113,2022-08-22
-799.1924476623535,2022-08-23
10301.970714569092,2022-08-24
-39872.35217285156,2022-08-25
-9897.927963256836,2022-08-26
-16262.517292022705,2022-08-29
-10673.487033843994,2022-08-30
3895.853504180908,2022-08-31
-11075.568971633911,2022-09-01
-7405.241788864136,2022-09-02
8923.959651947021,2022-09-06
1886.3915786743164,2022-09-07
22275.28747177124,2022-09-08
11028.856002807617,2022-09-09
-49112.99317359924,2022-09-12
7109.333465576172,2022-09-13
-14797.479612350464,2022-09-14
-6283.148765563965,2022-09-15
8994.720973968506,2022-09-16
-5576.0813274383545,2022-09-19
-20667.252382278442,2022-09-20
2653.188606262207,2022-09-21
-23165.578645706177,2022-09-22
-6157.967947006226,2022-09-23
-304.1049747467041,2022-09-26
14271.06775856018,2022-09-27
-23543.489463806152,2022-09-28
-17181.39730834961,2022-09-29
33000.23617362976,2022-09-30
