date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-07-07,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,-100,0,0,100,0,0,-24,0,0,-100
2023-07-10,0,0,0,0,100,0,1,0,-2,0,10,0,1,0,0,0,0,0,0,-100,0,100,0,0,-100,100,1,0,-100
2023-07-11,0,0,0,0,-44,0,0,0,2,0,64,0,100,0,100,0,100,0,0,-41,0,0,-100,0,-5,-100,100,100,-83
2023-07-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,100,0,0,0,85,0,0,-100,100,-86,-60
2023-07-13,0,0,0,100,-30,0,0,0,100,0,5,0,100,0,0,0,-31,0,0,-100,0,-25,0,89,-15,-100,-100,1,-67
2023-07-14,0,100,1,0,-26,1,-1,0,100,0,-94,0,100,0,-100,0,0,0,95,-11,0,-75,100,99,-100,100,100,100,-100
2023-07-17,0,-63,-1,100,0,33,100,0,0,0,0,0,100,0,0,0,100,0,-100,-100,0,100,0,-8,0,-100,-100,100,-100
2023-07-18,0,-37,0,-100,62,0,88,0,2,0,93,0,100,0,0,0,-35,0,0,-50,0,90,0,100,-100,-2,1,100,-100
2023-07-19,0,100,0,0,-62,8,72,0,100,0,0,0,100,0,0,0,-21,0,-17,-75,80,-100,0,-48,-40,-44,0,100,-100
2023-07-20,0,100,0,0,0,0,100,0,-85,0,100,55,0,0,0,0,0,0,-78,-8,0,0,0,0,-68,-91,-5,0,2
2023-07-21,0,-21,0,100,0,0,1,0,0,0,100,-55,100,0,0,0,0,12,0,-32,-80,100,-39,0,0,-89,-73,1,-79
2023-07-24,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,0,-10,100,79,-100,0,0,0,-24,1,-17
2023-07-25,84,0,0,0,0,100,0,0,100,0,0,17,0,0,0,0,-45,0,0,-66,-37,0,100,-100,0,-100,4,75,-100
2023-07-26,0,-100,0,0,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,2,-23,-8,0,0,0,70,1,1,0,-82
2023-07-27,0,-8,0,100,45,100,100,0,100,0,-100,0,100,0,0,100,1,0,-2,-40,100,-13,-63,-35,-100,-100,100,-100,-100
2023-07-28,0,-71,0,100,100,97,100,0,-94,0,-72,60,100,0,0,-4,2,0,0,100,-14,-89,-29,-100,0,-100,0,0,-100
2023-07-31,72,73,33,0,21,-11,-70,0,-100,0,-51,33,100,0,39,-93,3,0,92,58,-56,100,-54,-6,0,-65,37,-24,-92
2023-08-01,-100,100,0,0,0,0,100,65,-100,0,0,18,100,0,-39,58,95,0,100,65,-67,0,0,0,-12,-100,0,76,-6
2023-08-02,0,0,-33,-51,0,0,0,0,0,0,0,0,0,0,0,-61,0,0,4,-52,0,0,0,0,83,-90,100,100,100
2023-08-03,-56,-72,100,-57,-100,100,100,-22,-100,0,-69,-26,100,64,0,0,57,22,-100,100,-18,-100,100,21,-90,76,-85,-97,-100
2023-08-04,0,100,-29,0,-21,16,-100,-43,-26,100,-9,0,-100,5,100,0,-100,100,-96,-100,0,-100,-39,0,100,0,-14,-100,0
2023-08-07,0,-82,-71,27,-45,100,100,0,100,-38,100,-85,100,100,-60,0,12,22,22,81,100,86,-61,-59,-70,-100,-24,100,39
2023-08-08,0,-49,0,0,0,100,0,0,-100,0,-2,100,97,0,0,0,0,68,100,100,-100,0,100,0,-71,-43,0,0,0
2023-08-09,0,-2,0,-40,83,0,1,0,0,-1,100,0,100,-100,-24,0,100,-1,-100,100,0,100,-100,0,-100,0,1,0,-99
2023-08-10,0,0,100,-100,0,0,100,0,0,-61,100,-100,100,0,-16,0,22,0,-22,-93,0,100,0,0,0,0,-14,100,-100
2023-08-11,0,33,90,0,0,-3,100,0,0,0,82,0,100,-40,97,1,-56,-100,0,100,0,-84,0,0,-100,0,-58,100,-79
2023-08-14,0,0,100,0,-83,-57,100,0,100,0,0,0,100,-29,-32,89,-65,-54,0,0,0,100,5,0,0,0,-45,-66,-100
2023-08-15,0,-27,0,-61,0,0,0,0,0,0,0,0,0,0,0,-40,-43,-57,0,-100,0,-100,0,84,100,0,100,0,0
2023-08-16,0,0,-100,0,0,0,0,0,-45,0,0,0,0,0,-65,0,0,0,0,0,0,0,1,0,62,0,0,1,-9
2023-08-17,29,-52,0,0,0,0,0,0,-9,0,100,0,100,0,0,0,-23,100,0,-100,0,100,-6,-73,-100,0,0,100,-69
2023-08-18,0,-22,0,17,100,-65,2,100,0,0,0,0,100,0,0,100,-40,-100,0,0,0,-44,0,100,-71,0,1,100,-100
2023-08-21,0,0,0,0,0,100,0,-100,0,0,79,0,0,9,0,-64,100,0,0,-43,100,-100,100,-100,-100,0,100,100,0
2023-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,0,0,-2,0,9,0,14,100,-100
2023-08-23,0,0,0,-10,0,-63,0,0,100,0,0,0,100,-9,0,79,0,0,100,-100,0,0,-40,0,-15,0,100,2,-100
2023-08-24,0,0,0,0,0,0,0,0,3,27,-97,0,0,0,0,-23,0,0,-3,-31,100,-100,100,0,-7,0,0,1,-100
2023-08-25,0,0,-100,0,0,-67,0,0,0,0,0,0,5,0,0,0,100,0,-97,0,0,-55,100,100,0,0,1,-2,100
2023-08-28,0,0,-42,0,0,0,1,0,0,0,0,0,0,1,0,0,100,0,0,-100,0,100,0,27,0,0,100,-30,-100
2023-08-29,0,0,-48,-25,0,1,0,0,100,-27,84,0,100,-1,0,100,100,0,0,-100,-58,0,-67,100,-44,0,100,-39,-100
2023-08-30,0,0,0,0,0,100,2,0,-24,0,51,0,0,0,0,0,100,0,0,-100,0,0,-100,-100,0,0,0,100,-52
2023-08-31,0,0,0,0,-59,-94,0,0,2,0,7,0,100,0,0,100,100,0,0,-100,0,0,0,100,0,0,-58,100,-100
2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-100,0,0,0,-95,-31,100,100,65,0,0,100,-46,-63
2023-09-05,0,0,0,0,-41,0,1,0,0,0,53,0,100,100,0,-58,0,0,0,-50,-100,100,100,0,0,0,100,0,-100
2023-09-06,0,0,0,0,0,-32,0,0,7,0,0,0,0,0,0,0,100,0,0,-32,-11,-59,100,0,0,0,100,1,-86
2023-09-07,0,0,0,0,0,0,0,0,1,0,0,0,0,-18,0,0,0,0,0,-100,0,-18,100,0,0,0,100,0,-100
2023-09-08,0,0,0,0,0,0,0,0,0,0,-37,0,0,1,0,0,-100,0,0,-100,0,29,100,100,0,0,0,0,-100
2023-09-11,0,0,0,0,13,-100,100,0,0,0,0,0,0,-48,0,-100,100,0,0,-100,0,0,100,100,0,0,100,100,-40
2023-09-12,0,0,0,0,0,0,0,0,0,0,0,0,78,100,0,-31,100,0,0,-61,0,-100,0,0,0,0,100,100,-100
2023-09-13,0,0,0,0,0,-100,2,0,0,0,0,0,43,-62,0,0,100,0,0,-100,100,0,0,-65,0,0,100,100,-100
2023-09-14,0,0,0,0,0,0,100,0,100,0,100,0,22,-73,0,0,100,0,0,-61,-100,0,0,-33,0,0,3,-69,-100
2023-09-15,0,0,0,0,0,0,0,0,0,0,-27,0,0,0,0,-53,0,0,0,-100,0,100,100,17,0,0,1,100,-50
2023-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-61,78,0,0,0,100,100,-14
2023-09-19,0,0,0,0,0,-51,1,0,0,0,0,0,0,1,0,0,100,0,0,-100,0,0,70,0,0,0,100,100,0
2023-09-20,0,0,0,0,-13,0,0,0,1,0,0,0,0,1,0,0,-27,0,0,-100,0,0,-23,95,0,0,100,0,0
2023-09-21,0,0,0,0,0,0,1,0,-15,0,34,0,1,0,0,0,100,0,0,-100,0,100,-100,0,0,0,-16,100,0
2023-09-22,0,0,0,0,0,-51,0,0,0,0,63,0,1,0,0,0,100,0,0,-100,0,100,0,-89,0,0,0,100,0
2023-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,6,0,0,-99,0,-2,0,0,14,0,100,0,0
2023-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-14,0,100,100,0
2023-09-27,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,-81,100,-91,0,0,100,100,0
2023-09-28,39,0,0,0,0,-66,0,0,1,0,0,0,0,0,0,0,100,0,0,0,-6,0,0,0,0,0,100,0,0
2023-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,-100,0,1,83,0,0,0,100,0,0
2023-10-02,100,0,0,82,100,-48,100,0,-47,0,-94,0,100,0,0,0,-18,0,0,-100,0,-19,-100,-78,0,0,0,100,0
2023-10-03,0,0,0,-36,0,87,-31,0,-57,0,0,0,0,0,0,0,1,0,0,-75,0,0,0,0,0,0,100,0,0
