account_rewards,date
8266.852424239973,2023-07-07
-1792.605572708184,2023-07-10
-11064.130701450165,2023-07-11
-7204.639369342942,2023-07-12
27869.6409968643,2023-07-13
-3792.5980894812383,2023-07-14
10261.594677230809,2023-07-17
3792.858808103483,2023-07-18
11824.105629856233,2023-07-19
9214.785932512255,2023-07-20
325.4827824535314,2023-07-21
-4655.688482585829,2023-07-24
468.86037184717134,2023-07-25
-9544.10398095334,2023-07-26
6705.488974639913,2023-07-27
5184.517392677255,2023-07-28
-3568.2534588393755,2023-07-31
-3484.3971976737957,2023-08-01
-2532.74571803282,2023-08-02
-5521.571419057669,2023-08-03
17247.679918434005,2023-08-04
-4628.041468803538,2023-08-07
-9263.751977386419,2023-08-08
1029.4885840856005,2023-08-09
9411.559717395576,2023-08-10
4631.287842651596,2023-08-11
-6257.171749296365,2023-08-14
-4439.442701724824,2023-08-15
-7842.6838610649575,2023-08-16
4976.878189330921,2023-08-17
2876.2943291855045,2023-08-18
-12619.678873607656,2023-08-21
21179.30814984138,2023-08-22
-14979.896480556345,2023-08-23
10726.770243602572,2023-08-24
1369.8287004509475,2023-08-25
9976.788540580776,2023-08-28
5581.32717502024,2023-08-29
-685.1369882659055,2023-08-30
4733.330458991928,2023-08-31
-14683.091200305847,2023-09-01
-3166.9701161461417,2023-09-05
3323.7086703814566,2023-09-06
3699.326734077418,2023-09-07
2544.705973621458,2023-09-08
-7679.637750289869,2023-09-11
-2938.475517357001,2023-09-12
11667.801389663713,2023-09-13
-14461.016626529628,2023-09-14
-3395.9139218176715,2023-09-15
-1516.8951447755098,2023-09-18
5030.715016002767,2023-09-19
-17259.339927478926,2023-09-20
-4808.259461620357,2023-09-21
-2953.1494353560265,2023-09-22
-15976.078867896926,2023-09-25
-6332.946093719685,2023-09-26
-2092.594865623396,2023-09-27
-3087.8833261947148,2023-09-28
-2960.796812225366,2023-09-29
-9364.771601242013,2023-10-02
2110.1539144439157,2023-10-03
