account_rewards,date
-98.57260051718913,2023-04-05
1755.0606661797501,2023-04-06
3431.3630499723367,2023-04-10
4258.316094940295,2023-04-11
18085.62425972172,2023-04-12
-3699.8601189078763,2023-04-13
-1453.6991673430894,2023-04-14
-842.2024926911108,2023-04-17
-9131.23459225474,2023-04-18
-64.42577284225263,2023-04-19
4463.066213333048,2023-04-20
3224.1379854506813,2023-04-21
-1103.6991749762092,2023-04-24
-20468.952644977486,2023-04-25
18117.095127162756,2023-04-26
6739.881091461284,2023-04-27
6378.274119236041,2023-04-28
-2982.7217014390044,2023-05-01
-3442.1135390282143,2023-05-02
-5793.365382388933,2023-05-03
14035.970904884161,2023-05-04
2751.583305111155,2023-05-05
-4429.038322464097,2023-05-08
-615.4992521400563,2023-05-09
-2509.6673602638766,2023-05-10
875.5133251647931,2023-05-11
-6305.844027862418,2023-05-12
-11344.1330673981,2023-05-15
99.67160759726539,2023-05-16
-4468.063107498223,2023-05-17
4311.723574127303,2023-05-18
-7572.90280104056,2023-05-19
-13476.465082506184,2023-05-22
-1156.1224966126028,2023-05-23
-8456.280268337345,2023-05-24
261.5802400056273,2023-05-25
-12950.145839035045,2023-05-26
11232.031088119373,2023-05-30
14095.746823150665,2023-05-31
15625.7963180542,2023-06-01
-77.1629409790039,2023-06-02
-19947.421559444396,2023-06-05
-13160.303364799358,2023-06-06
13781.998985290527,2023-06-07
6014.869293212891,2023-06-08
-343.2188262939453,2023-06-09
-2187.746910095215,2023-06-12
-27515.063438415527,2023-06-13
13824.610137939453,2023-06-14
-5945.757698059082,2023-06-15
8982.158243240323,2023-06-16
11278.294219970703,2023-06-20
14807.500076293945,2023-06-21
2570.726905822754,2023-06-22
-8213.167045593262,2023-06-23
4522.142768859863,2023-06-26
-9217.411651611328,2023-06-27
11860.065490722656,2023-06-28
17673.150199890137,2023-06-29
-5029.525146484375,2023-06-30
-6880.461563110352,2023-07-03
-11164.810165405273,2023-07-05
