account_rewards,date
236.75623016362078,2022-10-04
-7613.689801383996,2022-10-05
-20447.13478593435,2022-10-06
1324.4730364531279,2022-10-07
9105.925466827583,2022-10-10
340.6022516172379,2022-10-11
31436.11601599888,2022-10-12
-19492.42278390494,2022-10-13
18205.004260330228,2022-10-14
7768.606914415257,2022-10-17
466.6391146183014,2022-10-18
75.20034417533316,2022-10-19
20776.494462890783,2022-10-20
16817.817999416264,2022-10-21
13356.342356109526,2022-10-24
8460.654943645466,2022-10-25
1841.6115215911996,2022-10-26
25122.61560050794,2022-10-27
-4669.20947265625,2022-10-28
-1280.284683227539,2022-10-31
-20281.74077606201,2022-11-01
-3471.423179626465,2022-11-02
10774.821571350098,2022-11-03
14059.030097961426,2022-11-04
20038.15721511841,2022-11-07
-22144.391765594482,2022-11-08
30985.503833770752,2022-11-09
991.643684387207,2022-11-10
4409.671157836914,2022-11-11
1830.6558265686035,2022-11-14
-8742.580627441406,2022-11-15
8347.799461364746,2022-11-16
3974.1001739501953,2022-11-17
-694.9730834960938,2022-11-18
17509.03034210205,2022-11-21
-4009.485176086426,2022-11-22
1264.4946098327637,2022-11-23
-10648.157299041748,2022-11-25
4889.913352966309,2022-11-28
24858.449043273926,2022-11-29
-10668.604431152344,2022-11-30
-2011.0929374694824,2022-12-01
-21464.81720352173,2022-12-02
-14790.679901123047,2022-12-05
5330.411544799805,2022-12-06
6476.502834320068,2022-12-07
-22628.39577102661,2022-12-08
8803.68537902832,2022-12-09
9603.92407989502,2022-12-12
-2592.7108116149902,2022-12-13
-18615.888595581055,2022-12-14
-10031.657497406006,2022-12-15
-1140.5912246704102,2022-12-16
3923.2367782592773,2022-12-19
24892.47784423828,2022-12-20
-5203.3952713012695,2022-12-21
10559.327667236328,2022-12-22
8590.417068481445,2022-12-23
-15196.630744934082,2022-12-27
10051.793968200684,2022-12-28
1453.1267433166504,2022-12-29
-6167.110652923584,2022-12-30
