date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-10-10,0,100,0,-26,-100,-17,-77,-49,-100,41,0,0,0,0,0,-26,3,0,100,-38,0,-100,0,0,0,100,0,-100,100
2023-10-11,100,-11,0,100,-78,-100,-100,32,-45,78,0,0,0,84,100,-54,-3,0,69,-34,0,0,0,0,0,-100,0,100,-66
2023-10-12,0,100,0,0,0,-100,0,0,-1,0,0,0,0,0,100,0,0,0,100,-47,0,0,0,0,2,-90,0,-100,-47
2023-10-13,100,0,0,-92,0,0,-20,0,-65,0,0,0,0,1,-21,0,0,100,93,-100,0,-40,0,100,0,-73,0,-84,-100
2023-10-16,100,100,0,0,-57,0,-100,-1,100,0,0,100,0,0,0,0,0,0,26,-100,0,-100,0,-100,0,-49,1,0,-100
2023-10-17,-100,1,0,100,0,-54,-100,-68,-32,100,100,100,0,2,-94,-77,0,-100,100,-81,0,0,0,0,57,-100,-1,-76,-37
2023-10-18,100,100,0,-12,100,-42,-9,-100,0,-100,0,-100,0,2,0,1,0,0,100,0,0,0,0,0,35,-70,0,0,-96
2023-10-19,-73,100,100,100,-100,-89,0,-84,0,-39,0,-100,0,-4,54,0,0,100,64,0,0,14,0,82,-5,-18,0,-100,-100
2023-10-20,-100,0,-36,0,0,0,0,-17,0,-80,100,0,0,0,100,-26,0,0,64,0,0,-80,0,100,0,0,0,100,-100
2023-10-23,0,100,0,-49,0,0,0,0,-29,4,0,0,0,-44,-100,1,0,0,100,0,0,0,0,0,0,0,0,-100,-100
2023-10-24,0,76,-64,0,0,0,2,-91,-92,-4,0,0,0,-44,100,0,0,-19,100,0,0,-26,0,0,0,0,0,-12,-30
2023-10-25,0,0,0,0,0,0,100,0,0,0,-46,0,0,-100,-100,1,0,100,0,0,0,-52,0,-16,25,0,0,1,-100
2023-10-26,-71,100,0,29,0,0,-79,-22,-100,0,-12,0,0,-96,0,-22,1,100,0,0,0,-16,0,-98,0,0,0,-29,-45
