account_rewards,date
-14833.532723937882,2022-01-03
-1644.3218339423183,2022-01-04
-42135.64102008077,2022-01-05
-18835.522567798616,2022-01-06
11593.892488868907,2022-01-07
4349.873518356122,2022-01-10
9865.374763176078,2022-01-11
-11104.793883514358,2022-01-12
1865.6860383758321,2022-01-13
-17341.583770858822,2022-01-14
1025.38223245251,2022-01-18
-665.8492958298884,2022-01-19
-6655.436856841901,2022-01-20
969.5969040298369,2022-01-21
-1884.1997146606445,2022-01-24
-1284.8275197602343,2022-01-25
4328.692885189084,2022-01-26
15226.975244216854,2022-01-27
-1238.572769554099,2022-01-28
2469.874772644369,2022-01-31
4963.007178115891,2022-02-01
-9320.417380523635,2022-02-02
1276.4860566598363,2022-02-03
523.9469602927566,2022-02-04
10536.426850066986,2022-02-07
12580.321930358885,2022-02-08
-16920.24387185648,2022-02-09
-17495.03875350952,2022-02-10
-5505.074619293213,2022-02-11
14026.854064941406,2022-02-14
367.9783134460449,2022-02-15
-24442.882217407227,2022-02-16
-6436.08629989624,2022-02-17
-9620.113662719727,2022-02-18
-15420.685916900635,2022-02-22
-891.2407836914062,2022-02-23
32482.326419830322,2022-02-24
-7457.508228302002,2022-02-25
-20767.11531829834,2022-02-28
23903.828102111816,2022-03-01
-3099.792003631592,2022-03-02
-2678.541934967041,2022-03-03
-32426.19931411743,2022-03-04
-8859.939826965332,2022-03-07
26125.707458496094,2022-03-08
-2498.6848754882812,2022-03-09
-10019.816268920898,2022-03-10
-685.5626678466797,2022-03-11
21998.34468460083,2022-03-14
17370.381324768066,2022-03-15
14588.441905975342,2022-03-16
7007.380531311035,2022-03-17
-1598.9250717163086,2022-03-18
8446.665748596191,2022-03-21
-10622.08853149414,2022-03-22
15235.376728057861,2022-03-23
7052.765705108643,2022-03-24
1189.984016418457,2022-03-25
8456.826545715332,2022-03-28
3714.7223014831543,2022-03-29
-21541.42942428589,2022-03-30
3469.4325065612793,2022-03-31
