account_rewards,date
-4134.526068569161,2024-01-10
5880.359119102359,2024-01-11
-12381.027483886573,2024-01-12
-62.29480900592171,2024-01-16
4971.224650299177,2024-01-17
14005.14228439331,2024-01-18
6432.407642364502,2024-01-19
545.8437728881836,2024-01-22
-10986.326919555664,2024-01-23
19357.895919799805,2024-01-24
3414.7794456481934,2024-01-25
5655.776309967041,2024-01-26
3782.252052307129,2024-01-29
-8726.36311340332,2024-01-30
25289.80061340332,2024-01-31
-3930.496292114258,2024-02-01
-4112.621658325195,2024-02-02
-10487.405364990234,2024-02-05
-42712.79957199097,2024-02-06
-1616.9042739868164,2024-02-07
-6474.340595245361,2024-02-08
8179.378978729248,2024-02-09
-14846.544010162354,2024-02-12
1708.0073738098145,2024-02-13
6989.040378570557,2024-02-14
-14595.167469024658,2024-02-15
-1925.6950302124023,2024-02-16
-443.8567886352539,2024-02-20
9618.450561523438,2024-02-21
9184.928859710693,2024-02-22
-7495.335315704346,2024-02-23
-16239.622985839844,2024-02-26
-3039.5985832214355,2024-02-27
-5900.762004852295,2024-02-28
15350.114227294922,2024-02-29
-3505.1008338928223,2024-03-01
-11943.049640655518,2024-03-04
2817.1899948120117,2024-03-05
-7815.715847015381,2024-03-06
3306.1553993225098,2024-03-07
3883.431953430176,2024-03-08
5488.87992477417,2024-03-11
-1329.365390777588,2024-03-12
-13704.845417022705,2024-03-13
-8073.789318084717,2024-03-14
6837.601348876953,2024-03-15
5453.506546020508,2024-03-18
7674.491970062256,2024-03-19
6321.102844238281,2024-03-20
-7019.177257537842,2024-03-21
7412.517734527588,2024-03-22
1542.3736267089844,2024-03-25
15741.714752197266,2024-03-26
-4596.460754394531,2024-03-27
-6773.267463684082,2024-03-28
-17719.70127105713,2024-04-01
-3706.6831588745117,2024-04-02
-19704.944049835205,2024-04-03
7598.44571685791,2024-04-04
-701.7183227539062,2024-04-05
2597.032444000244,2024-04-08
-14446.813980102539,2024-04-09
