account_value,date,daily_return
1247710.8969246459,2022-04-04,
1241749.4621895535,2022-04-05,-0.004777897467903913
1235114.4487477355,2022-04-06,-0.005343278691756881
1237735.3404505858,2022-04-07,0.0021219828700955734
1237591.6849185957,2022-04-08,-0.00011606320615986654
1217052.995270715,2022-04-11,-0.01659569137233785
1210192.2355765624,2022-04-12,-0.005637190591381458
1226090.1533011717,2022-04-13,0.013136687922175705
1217118.1306876463,2022-04-14,-0.007317588016973131
1223703.300990991,2022-04-18,0.0054104611025918015
1243299.7758750243,2022-04-19,0.016014073728626288
1254566.935405664,2022-04-20,0.009062303194504961
1243060.4837760252,2022-04-21,-0.009171652229076233
1208216.2459830565,2022-04-22,-0.028031007539651598
1221922.4994315428,2022-04-25,0.01134420555430804
1189053.6339988036,2022-04-26,-0.0268993045369329
1203373.3909568114,2022-04-27,0.012042986580723225
1226240.242473535,2022-04-28,0.01900229113304719
1187280.5002707762,2022-04-29,-0.03177170415168429
1191092.9673575682,2022-05-02,0.003211092143703631
1191150.938655786,2022-05-03,4.8670674587469875e-05
1228227.5066642088,2022-05-04,0.031126674886613248
1187942.7004355711,2022-05-05,-0.03279914023261765
1184693.8653220457,2022-05-06,-0.002734841598280968
1159031.603084497,2022-05-09,-0.02166151356795698
1159085.480907373,2022-05-10,4.6485206039781346e-05
1144055.7051963133,2022-05-11,-0.012966926045259175
1133547.2915000243,2022-05-12,-0.009185229048340737
1153045.947185449,2022-05-13,0.01720144878968588
1148839.0654410643,2022-05-16,-0.0036484944547557907
1166041.813152246,2022-05-17,0.014974027458386496
1164875.7821359495,2022-05-18,-0.000999990740592982
1163510.2678499077,2022-05-19,-0.001172240256843371
1163238.0205102777,2022-05-20,-0.0002339879132593481
1172468.0015291073,2022-05-23,0.007934731203834477
1169753.0357103206,2022-05-24,-0.0023155990741290378
1175120.3096597528,2022-05-25,0.004588382150402248
1187457.1112779474,2022-05-26,0.010498330695830393
1207450.17255877,2022-05-27,0.016836870225406253
1203143.2626191948,2022-05-31,-0.0035669463117042888
1194992.8417397393,2022-06-01,-0.006774272967054906
1207226.5256081475,2022-06-02,0.0102374536826495
1192974.8542519463,2022-06-03,-0.011805300044266165
1192120.5597573174,2022-06-06,-0.0007161043601079387
1203368.0049782647,2022-06-07,0.009434821947233996
1192574.9723854912,2022-06-08,-0.008969020738563205
1164394.2018166436,2022-06-09,-0.023630187804862368
1129736.27557763,2022-06-10,-0.029764770543293406
1096978.665470208,2022-06-13,-0.028995802662593162
1098023.2960244073,2022-06-14,0.0009522797362258029
1113010.862674798,2022-06-15,0.013649588951942793
1078834.225437249,2022-06-16,-0.03070647231188317
1091789.9269142998,2022-06-17,0.01200898263289707
1111531.9050026787,2022-06-21,0.018082213072046827
1108139.2936745537,2022-06-22,-0.003052194285072529
1116852.5971718682,2022-06-23,0.007863003818248782
1148990.4280739678,2022-06-24,0.0287753558378967
1141866.217411126,2022-06-27,-0.006200409062400936
1120133.180088128,2022-06-28,-0.019032910328384944
1122278.8206826104,2022-06-29,0.0019155227544582765
1113534.3040200127,2022-06-30,-0.0077917505894649075
1124453.8811989678,2022-07-01,0.009806233305551526
1125770.421482171,2022-07-05,0.0011708263942309394
