,account_value,date,daily_return,datadate
0,1000000.0,2022-04-04,,2022-04-04
1,997164.9563531457,2022-04-05,-0.0028350436468544,2022-04-05
2,994093.3489787672,2022-04-06,-0.0030803402735009,2022-04-06
3,994151.8787681313,2022-04-07,5.887755855549237e-05,2022-04-07
4,992940.9002199898,2022-04-08,-0.0012181021572297,2022-04-08
5,980721.163378174,2022-04-11,-0.0123066104328147,2022-04-11
6,977848.9596808358,2022-04-12,-0.0029286649504376,2022-04-12
7,989236.527973076,2022-04-13,0.0116455288718178,2022-04-13
8,982555.1677101518,2022-04-14,-0.0067540573704998,2022-04-14
9,980153.2160224534,2022-04-18,-0.0024445972772155,2022-04-18
10,995380.1277652476,2022-04-19,0.0155352362200944,2022-04-19
11,1002712.3709755592,2022-04-20,0.0073662744571501,2022-04-20
12,991373.6257305146,2022-04-21,-0.0113080735545458,2022-04-21
13,969711.9872735596,2022-04-22,-0.0218501258201145,2022-04-22
14,982170.1455011102,2022-04-25,0.0128472767079819,2022-04-25
15,961490.2874440156,2022-04-26,-0.021055270465937,2022-04-26
16,961873.4901282198,2022-04-27,0.0003985507593871,2022-04-27
17,982405.9216742328,2022-04-28,0.0213462911253285,2022-04-28
18,956099.115678734,2022-04-29,-0.0267779391543835,2022-04-29
19,954525.8310027393,2022-05-02,-0.0016455246639131,2022-05-02
20,955946.973311062,2022-05-03,0.0014888463592757,2022-05-03
21,981185.0328425332,2022-05-04,0.0264011082581867,2022-05-04
22,952042.9173535426,2022-05-05,-0.0297009376555253,2022-05-05
23,955700.1087173426,2022-05-06,0.0038414143912399,2022-05-06
24,937301.7093523142,2022-05-09,-0.0192512266109513,2022-05-09
25,936334.1492445414,2022-05-10,-0.0010322824530443,2022-05-10
26,925581.829441128,2022-05-11,-0.0114834216097838,2022-05-11
27,922216.4363049852,2022-05-12,-0.0036359758036464,2022-05-12
28,934441.0003301164,2022-05-13,0.0132556345168937,2022-05-13
29,937962.7358546032,2022-05-16,0.0037688152844774,2022-05-16
30,948464.9439351542,2022-05-17,0.0111968287002173,2022-05-17
31,913048.0611237986,2022-05-18,-0.037341267105152,2022-05-18
32,905995.6589827694,2022-05-19,-0.0077240207184153,2022-05-19
33,910558.5930013928,2022-05-20,0.00503637514527,2022-05-20
34,925446.0941475031,2022-05-23,0.0163498551993652,2022-05-23
35,931422.1220742876,2022-05-24,0.0064574565332078,2022-05-24
36,935219.8891286548,2022-05-25,0.0040773854994011,2022-05-25
37,947808.538070885,2022-05-26,0.0134606300492166,2022-05-26
38,963607.4580933346,2022-05-27,0.0166688939673467,2022-05-27
39,955044.690813641,2022-05-31,-0.0088861571252639,2022-05-31
40,957369.3428969044,2022-06-01,0.0024340767564321,2022-06-01
41,967955.991332314,2022-06-02,0.0110580608350956,2022-06-02
42,956772.8451234364,2022-06-03,-0.011553362248923,2022-06-03
43,961678.1387485357,2022-06-06,0.0051269155997695,2022-06-06
44,969972.2978979228,2022-06-07,0.0086246726583396,2022-06-07
45,960768.0175458912,2022-06-08,-0.0094892198179048,2022-06-08
46,942623.4383453602,2022-06-09,-0.0188854945930424,2022-06-09
47,921385.2890084196,2022-06-10,-0.0225308946000973,2022-06-10
48,900961.9961598286,2022-06-13,-0.0221658551446704,2022-06-13
49,893739.1866517873,2022-06-14,-0.008016774890425,2022-06-14
50,900592.5463368306,2022-06-15,0.0076681875287554,2022-06-15
51,881100.7149179425,2022-06-16,-0.0216433408184103,2022-06-16
52,882788.1689927717,2022-06-17,0.0019151659353564,2022-06-17
53,902400.5074845318,2022-06-21,0.022216358556478,2022-06-21
54,907788.1485620848,2022-06-22,0.005970343581223,2022-06-22
55,917026.2814689794,2022-06-23,0.0101765295366851,2022-06-23
56,941056.4900172544,2022-06-24,0.0262044927543201,2022-06-24
57,943545.8268900724,2022-06-27,0.0026452576431117,2022-06-27
58,932893.4576820072,2022-06-28,-0.0112897210760554,2022-06-28
59,935941.9338163688,2022-06-29,0.0032677645118619,2022-06-29
60,933441.1605480162,2022-06-30,-0.0026719320697122,2022-06-30
61,941398.7643371358,2022-07-01,0.0085250191714791,2022-07-01
62,927702.7019453665,2022-07-05,-0.014548630092385,2022-07-05
63,937518.9899321218,2022-07-06,,2022-07-06
64,944250.7419107062,2022-07-07,0.0071803899983633,2022-07-07
65,944931.1800232552,2022-07-08,0.000720611679025,2022-07-08
66,942784.2941821103,2022-07-11,-0.0022720023283513,2022-07-11
67,931027.9517085844,2022-07-12,-0.0124698115423368,2022-07-12
68,919335.0051094558,2022-07-13,-0.0125591788921807,2022-07-13
69,912068.4091269042,2022-07-14,-0.0079041872028863,2022-07-14
70,937365.7322824636,2022-07-15,0.0277362124402222,2022-07-15
71,924317.437809136,2022-07-18,-0.0139201744035972,2022-07-18
72,943068.5739898956,2022-07-19,0.0202864680614534,2022-07-19
73,938627.0129440773,2022-07-20,-0.0047096904385511,2022-07-20
74,942635.644836808,2022-07-21,0.0042707399610812,2022-07-21
75,938403.6244598356,2022-07-22,-0.0044895611577524,2022-07-22
76,944328.9567299888,2022-07-25,0.006314268312384,2022-07-25
77,938845.6474267052,2022-07-26,-0.0058065669428069,2022-07-26
78,947986.5358349158,2022-07-27,0.0097363058914583,2022-07-27
79,949507.991033284,2022-07-28,0.0016049333411978,2022-07-28
80,953618.120457074,2022-07-29,0.0043286938736737,2022-07-29
81,945705.558241677,2022-08-01,-0.0082974117685644,2022-08-01
82,939898.5584878012,2022-08-02,-0.0061403887322736,2022-08-02
83,948996.125069924,2022-08-03,0.0096793068783507,2022-08-03
