account_rewards,date
-8361.56436006166,2023-01-04
17175.5191256142,2023-01-05
-2583.1029111557873,2023-01-06
6317.368252265966,2023-01-09
10357.735341421096,2023-01-10
8053.570752563537,2023-01-11
2805.7289910812397,2023-01-12
-2568.325047699036,2023-01-13
-19066.684788684826,2023-01-17
-7726.746639930643,2023-01-18
21350.13711788936,2023-01-19
7402.087304321234,2023-01-20
3371.2420691032894,2023-01-23
-2860.186793895671,2023-01-24
18732.087022167165,2023-01-25
10386.718425195664,2023-01-26
-13427.074347045855,2023-01-27
12078.37998007203,2023-01-30
-2457.8594409637153,2023-01-31
-800.0944270343753,2023-02-01
3570.0493431434734,2023-02-02
-3840.552607681253,2023-02-03
19804.526822191314,2023-02-06
-4860.790112262825,2023-02-07
-3594.151570115937,2023-02-08
8764.802041046089,2023-02-09
9857.11211325461,2023-02-10
-1266.7663517037872,2023-02-13
-3525.6564558104146,2023-02-14
-15226.49568653875,2023-02-15
-568.186238571303,2023-02-16
-17162.6296997756,2023-02-17
-2316.544994918746,2023-02-21
5165.960750686587,2023-02-22
-8399.820403900114,2023-02-23
-909.8818980064243,2023-02-24
-6548.15129712678,2023-02-27
3262.327117168461,2023-02-28
4342.185542312567,2023-03-01
11363.985764389043,2023-03-02
3590.471294670133,2023-03-03
-17142.251206584857,2023-03-06
-4606.881617988693,2023-03-07
-13694.752113847644,2023-03-08
-12776.090763114975,2023-03-09
-3800.5441217193147,2023-03-10
11134.510728816967,2023-03-13
-9227.956325843814,2023-03-14
7631.184822093928,2023-03-15
-12080.434779947274,2023-03-16
15786.389119415311,2023-03-17
13083.776423465693,2023-03-20
-13466.452634017915,2023-03-21
-3679.6445146102924,2023-03-22
7842.631246189121,2023-03-23
11891.389301509946,2023-03-24
-6286.616084487992,2023-03-27
2122.9355200119317,2023-03-28
6339.290688894223,2023-03-29
8463.408070373582,2023-03-30
27881.47671633144,2023-03-31
-9267.842273834161,2023-04-03
