account_rewards,date
6731.751978584332,2022-07-06
680.4381125489017,2022-07-07
-2146.885841144598,2022-07-08
-11756.34247352602,2022-07-11
-11692.946599128656,2022-07-12
-7266.595982551575,2022-07-13
25297.323155559483,2022-07-14
-13048.29447332758,2022-07-15
18751.136180759408,2022-07-18
-4441.561045818264,2022-07-19
4008.6318927307148,2022-07-20
-4232.020376972272,2022-07-21
5925.3322701531,2022-07-22
-5483.309303283691,2022-07-25
9140.88840821071,2022-07-26
1521.4551983680576,2022-07-27
4110.129423790029,2022-07-28
-7912.562215396902,2022-07-29
-5806.999753875774,2022-08-01
9097.566582122818,2022-08-02
-4437.638023155159,2022-08-03
1535.5295719566057,2022-08-04
2089.3653141174,2022-08-05
-2007.2237942924257,2022-08-08
9390.72732321173,2022-08-09
-6983.909100700403,2022-08-10
9741.286340248073,2022-08-11
5981.886909484863,2022-08-12
7701.544395446777,2022-08-15
-3475.6539657707326,2022-08-16
-888.9123749083374,2022-08-17
-2079.2074378052494,2022-08-18
-17305.31305435556,2022-08-19
-6189.452750633238,2022-08-22
1959.9976615905762,2022-08-23
2476.254467010498,2022-08-24
-27210.90076745604,2022-08-25
-7905.889350891113,2022-08-26
-4257.235130310059,2022-08-29
-4900.310618362506,2022-08-30
12266.911160678952,2022-08-31
-10538.86589050293,2022-09-01
-2597.261306671193,2022-09-02
10491.028318908648,2022-09-06
5323.904953590478,2022-09-07
11075.120733482298,2022-09-08
-8602.939853668213,2022-09-09
-32269.08784989931,2022-09-12
5247.100704193115,2022-09-13
-7537.385102474131,2022-09-14
4032.7475906906184,2022-09-15
-461.1807098388672,2022-09-16
-9574.824583988287,2022-09-19
-11160.228948402335,2022-09-20
9591.280817989376,2022-09-21
-9448.486223405926,2022-09-22
-2217.7922325134277,2022-09-23
-2247.9716743888566,2022-09-26
14068.84431231697,2022-09-27
-7821.841510772705,2022-09-28
-11486.41910426342,2022-09-29
18116.160774230957,2022-09-30
