date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,0,100,100,81,0,100,0,0,0,0,80,100,100,100,86,56,38,74,0,0,100,0,69,100,0,0,33,0,0
2022-04-05,4,-35,100,100,0,23,58,0,54,68,-80,100,37,45,100,-56,-38,100,0,100,100,9,100,100,0,0,-33,50,0
2022-04-06,100,21,100,86,0,-21,87,0,19,58,14,100,100,100,58,0,100,-100,0,68,100,9,41,100,0,15,78,29,0
2022-04-07,36,100,100,-12,0,100,-48,0,100,69,-14,-100,100,63,100,0,35,7,0,-100,100,72,100,100,0,100,-78,-79,26
2022-04-08,-34,42,61,40,0,100,-97,3,57,45,0,100,100,2,100,0,-21,100,0,-63,-3,61,100,30,0,47,0,100,90
2022-04-11,0,-32,-55,100,0,0,0,-3,0,0,0,100,0,0,100,0,-43,100,0,-5,90,-91,100,0,0,-100,0,2,-40
2022-04-12,21,-100,100,-17,21,-6,0,36,-100,-86,0,100,100,46,11,0,-71,100,0,0,-100,-24,100,-26,0,0,0,28,33
2022-04-13,100,-96,55,-88,-21,-2,0,-22,50,-19,0,73,100,-80,-100,0,0,-100,0,0,-41,-36,11,-31,83,3,94,-26,-10
2022-04-14,-15,0,100,-13,0,100,0,-14,100,0,0,0,0,-100,100,0,0,0,0,0,0,0,0,89,-83,-65,-36,-11,0
2022-04-18,0,0,-5,0,0,1,0,0,0,0,0,-12,100,-100,0,0,0,0,0,1,-7,0,-100,0,46,0,-58,-93,-99
2022-04-19,0,0,-100,0,93,-74,2,0,0,-100,0,-79,0,100,0,0,73,-94,100,-1,0,0,0,6,100,0,0,100,75
2022-04-20,100,0,0,-100,-18,100,-2,100,0,-35,100,-100,0,100,100,0,0,-83,-100,0,-100,100,0,0,7,0,0,-100,-75
2022-04-21,0,0,0,-59,-2,0,0,-39,-28,0,0,0,100,-100,100,0,-73,-27,0,0,13,-100,100,0,0,0,3,0,0
2022-04-22,0,0,0,-15,-73,0,0,-61,0,82,0,-100,0,0,100,0,0,100,0,0,-75,0,0,0,0,0,-3,0,0
2022-04-25,100,0,-67,-91,87,-8,0,0,-61,-82,-23,-72,100,-93,-81,0,0,-100,100,0,-12,0,-68,87,100,0,0,10,0
