date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-10-04,0,-31,0,0,-3,0,0,0,0,0,0,0,54,3,100,0,0,0,-47,-100,0,0,0,0,0,0,0,0,-52
2022-10-05,0,-100,0,0,100,0,75,100,0,0,0,0,-12,-3,-100,0,0,61,-100,100,12,0,0,0,0,-100,0,100,65
2022-10-06,0,-100,0,0,-69,-13,-74,100,0,0,0,100,-19,1,-71,100,0,0,0,-100,43,0,0,1,0,0,0,100,96
2022-10-07,0,-52,1,0,0,100,0,100,0,0,1,-16,-23,-1,-100,0,0,-61,0,-35,0,0,0,0,80,-96,0,0,-100
2022-10-10,0,-100,100,0,0,-26,-1,-56,0,0,-1,0,0,95,-100,59,93,0,-100,0,82,0,100,100,0,-100,0,-20,100
2022-10-11,0,-17,100,0,0,-8,100,100,0,0,0,0,0,1,-96,0,-11,0,-47,-95,18,0,-21,0,-2,0,0,0,0
2022-10-12,0,2,100,0,-100,-31,-33,100,0,100,34,-84,88,49,-42,10,-74,0,-28,-19,-100,0,56,100,-51,-86,0,-6,-100
2022-10-13,0,-100,0,0,-56,-100,-31,100,0,-100,-32,0,100,100,0,12,-8,0,0,-100,100,0,-31,100,100,0,0,100,-100
2022-10-14,0,0,0,0,92,0,0,0,0,0,-2,0,-100,1,0,0,0,0,0,-35,0,1,0,0,0,0,0,0,-26
2022-10-17,0,-22,100,0,0,0,1,0,0,0,32,0,0,-100,0,0,0,0,0,0,0,1,0,0,-35,0,1,100,0
2022-10-18,0,-100,0,0,0,-59,-37,0,0,0,-32,0,-88,-75,0,0,0,0,100,-100,0,-2,0,38,100,0,0,100,-100
2022-10-19,0,0,0,0,0,0,0,38,0,0,0,100,0,4,0,-42,100,0,-100,-93,0,0,-55,0,0,0,-1,-16,0
2022-10-20,0,-42,100,0,-1,-78,100,100,0,0,0,100,82,-13,0,-54,-100,0,0,-68,100,100,-35,-6,-100,0,0,100,1
2022-10-21,0,0,0,0,-71,-75,100,100,0,0,0,0,69,100,0,1,100,0,0,-100,0,-11,0,0,0,0,0,91,-100
2022-10-24,0,0,100,100,-30,-100,-100,66,0,0,0,0,0,0,0,0,-17,0,0,0,100,-42,0,100,-92,0,0,-32,-20
2022-10-25,0,-2,100,0,0,-100,0,100,0,0,0,29,0,6,0,100,-22,0,0,-100,-68,0,0,0,0,0,0,0,-85
2022-10-26,0,-100,100,-27,0,-59,-100,0,0,0,20,-38,1,-97,91,100,-61,0,0,-100,100,1,-14,-10,0,0,0,100,-100
2022-10-27,0,-100,100,-73,100,0,0,0,0,0,-20,0,-25,0,-91,0,0,0,0,-43,0,0,0,3,57,0,0,0,-52
2022-10-28,0,-100,100,44,0,0,0,100,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-10-31,0,0,5,-44,100,0,0,0,0,0,0,-74,100,0,0,0,0,0,0,-63,100,0,0,0,-57,0,0,4,0
2022-11-01,0,0,0,0,0,66,0,0,0,0,0,0,-41,0,0,-6,0,0,0,0,0,-16,0,0,0,0,0,2,-68
2022-11-02,0,-100,100,0,-100,-66,85,100,0,0,0,-14,-100,-21,0,100,31,0,0,-100,100,85,59,-65,0,0,0,-100,-100
2022-11-03,0,-100,-100,0,100,0,100,100,0,0,0,-53,-86,100,0,100,-31,0,0,-100,49,-37,2,78,13,0,0,100,-37
2022-11-04,0,-100,0,0,0,0,100,100,0,0,0,-50,100,-61,0,98,0,0,0,-100,6,-80,-61,100,-13,0,0,100,1
2022-11-07,0,0,100,0,-50,0,3,0,0,0,0,0,100,0,0,-75,0,0,0,-100,58,100,0,-100,0,0,0,0,-39
2022-11-08,0,0,100,0,0,0,-100,0,0,0,0,0,0,-9,0,-100,0,0,0,-100,0,-60,0,98,0,0,2,0,0
2022-11-09,0,-100,0,0,0,0,0,0,0,0,2,0,1,0,100,-57,0,0,0,0,100,0,0,0,0,0,-2,1,-100
2022-11-10,0,-58,0,0,0,0,100,0,0,0,-2,0,0,3,-100,-13,0,0,0,-100,23,-40,0,-66,100,0,0,0,-63
2022-11-11,0,-66,0,0,-82,0,-83,100,0,0,0,0,-8,0,0,-44,0,0,0,-16,100,0,0,-100,47,0,0,0,2
2022-11-14,0,0,100,0,-93,0,-40,0,0,0,0,0,0,-74,0,-19,0,0,0,0,0,0,0,0,25,0,0,1,0
2022-11-15,0,0,0,100,0,0,0,0,0,100,0,38,1,2,0,-72,0,0,0,0,0,0,0,-60,-100,0,100,-50,100
2022-11-16,0,0,-100,-100,87,0,-100,100,0,-100,100,2,-100,100,0,-31,0,0,0,0,100,0,0,-22,9,0,0,0,-100
2022-11-17,0,0,0,0,0,0,1,100,0,0,-72,100,0,100,0,-18,0,0,0,1,0,0,0,40,-28,0,-100,-71,-100
2022-11-18,0,0,100,0,0,0,-66,0,0,0,-25,100,0,-5,0,-49,0,0,0,-1,0,0,0,54,-53,0,0,100,-100
2022-11-21,0,0,50,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,3,-100
2022-11-22,0,0,50,0,0,0,1,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-33
2022-11-23,0,0,0,0,-12,0,-1,0,0,0,0,32,-29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-25,0,0,100,0,-100,0,0,0,0,0,0,-34,0,100,0,0,0,0,0,0,0,0,0,0,40,0,0,-100,-100
2022-11-28,0,0,100,0,0,0,0,0,0,0,0,0,-10,5,0,0,0,0,0,0,0,0,0,60,-40,0,0,-19,-58
2022-11-29,0,0,100,0,0,0,2,-100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,-55
2022-11-30,100,0,1,0,-28,0,0,0,0,0,0,2,-16,1,0,0,0,0,0,0,-18,0,0,0,0,0,0,-56,0
2022-12-01,-76,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,0,0,0,1,-40
2022-12-02,-24,0,38,0,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,-84,-79
2022-12-05,0,0,0,0,51,0,-100,0,0,0,0,0,0,-66,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-100
2022-12-06,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,-77,-55
2022-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,0,1,0,0,0,0,0,0,0,27,0,0,0,0,-87
2022-12-08,0,0,100,0,-51,0,0,1,0,0,0,0,-39,1,0,0,0,0,0,0,39,0,0,0,0,0,0,-84,-100
2022-12-09,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,-2,0,0,0,0,0,-1,0,0,0,0,0,-1,0
2022-12-12,0,0,0,0,0,0,0,6,0,0,0,-100,100,-14,0,0,0,0,0,0,-41,0,0,100,0,0,0,0,-36
2022-12-13,0,0,0,0,0,0,100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100
2022-12-14,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-6
2022-12-15,0,0,1,0,0,0,100,100,0,37,0,0,-82,0,0,0,0,0,0,0,0,0,0,-97,0,0,0,-13,-100
2022-12-16,0,0,100,0,0,0,2,0,0,-37,0,0,-18,-81,0,0,0,0,0,0,0,0,0,48,0,0,0,-43,-100
2022-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,11,0,0,0,0,0,0,0,-51
2022-12-20,0,0,0,0,0,0,0,100,0,0,0,-70,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,-76,0
2022-12-21,0,0,0,0,0,0,-100,0,0,0,0,0,65,-4,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-84
2022-12-22,0,0,0,0,0,0,0,61,0,0,0,-36,0,-20,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,-31
2022-12-23,0,0,0,0,0,0,-22,50,0,0,0,-34,0,100,0,0,0,0,0,0,0,0,1,-7,0,0,0,-27,-18
2022-12-27,0,0,0,0,0,0,100,0,0,0,0,6,-18,-26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-62
2022-12-28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,1,0
2022-12-29,0,0,100,0,-1,0,-100,0,0,0,0,-6,-47,2,0,0,0,0,0,0,-50,0,0,81,0,0,0,-16,-100
2022-12-30,0,0,63,0,0,0,2,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-63
