date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-01-04,0,100,-37,0,43,0,-81,-100,0,0,0,0,0,-53,0,0,0,0,100,0,-21,0,0,-96,0,0,0,-18,100
2023-01-05,89,-93,-100,0,0,0,-1,-46,0,0,0,0,0,-24,0,17,1,0,0,0,-13,0,0,0,78,0,0,0,-29
2023-01-06,1,0,-100,0,-36,73,0,28,0,0,0,0,0,0,0,-17,-1,0,-100,100,100,0,0,-44,0,0,0,0,-100
2023-01-09,-90,-7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,-65,-51,0,0,-100,98,0,100,0,-23
2023-01-10,0,0,0,0,-7,-73,0,-4,0,0,0,0,0,3,98,0,-1,0,0,0,0,0,0,0,0,0,-87,0,0
2023-01-11,0,0,0,0,67,1,0,-100,0,0,0,0,0,100,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2023-01-12,0,0,-100,100,0,-1,0,-34,0,0,0,0,0,2,-53,0,0,0,0,0,94,0,0,-100,0,0,0,0,100
2023-01-13,0,0,-21,0,0,0,0,-100,2,0,0,0,0,0,0,0,0,0,0,-35,98,0,0,-23,0,0,0,0,100
2023-01-17,0,0,-65,-10,-5,0,0,0,-2,0,0,0,62,-92,0,0,0,0,100,100,-47,0,0,0,0,0,0,1,-34
2023-01-18,0,0,-100,-88,0,100,0,0,0,0,83,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2023-01-19,0,0,87,100,-62,100,0,0,0,0,-49,0,0,100,0,0,0,0,-54,40,-71,0,0,-41,-4,0,100,80,-31
2023-01-20,0,0,-100,0,0,-93,0,-100,0,0,-34,0,0,100,0,0,0,27,100,-30,0,0,0,0,100,0,-100,-62,-32
2023-01-23,0,0,-13,-100,0,-49,0,32,0,0,0,0,100,2,0,0,100,0,100,-47,0,0,0,-55,0,0,100,95,100
2023-01-24,100,28,0,0,0,-28,0,100,0,0,0,0,0,-62,0,0,0,-14,-83,0,-32,0,0,0,-22,0,0,-100,2
2023-01-25,0,81,-19,-2,0,0,0,0,0,0,0,0,0,-62,0,100,-20,-13,-43,-60,-15,0,0,-58,0,0,-100,-13,100
2023-01-26,-100,-38,0,83,0,100,0,0,0,0,0,52,0,-91,0,-7,0,0,-91,85,0,0,0,-100,0,0,-2,0,3
2023-01-27,0,-71,-20,-83,97,0,0,0,0,0,0,-52,0,0,0,0,100,0,0,-42,0,0,0,100,0,0,100,0,0
2023-01-30,0,0,0,0,0,0,0,-64,0,0,0,0,0,2,0,-37,-2,63,0,0,0,0,0,0,0,0,0,0,-18
2023-01-31,0,63,0,0,0,0,0,0,0,0,0,0,0,-2,0,-56,1,-27,-29,0,0,0,0,0,0,0,-77,0,100
2023-02-01,0,0,1,0,-94,0,0,0,0,0,0,0,0,1,100,0,0,-36,0,0,-54,0,0,0,23,100,-34,0,-66
2023-02-02,0,-6,100,0,100,-53,0,0,0,0,0,0,20,1,0,0,-15,0,0,-38,-6,0,0,-68,0,-65,0,0,0
2023-02-03,0,0,0,0,0,-77,0,-12,0,0,0,0,1,1,100,0,-24,1,0,-2,-17,0,0,0,29,-35,0,0,-13
2023-02-06,0,0,0,0,-100,100,0,1,0,0,0,0,0,3,0,0,-87,-1,0,100,-71,0,0,-100,75,0,100,0,0
2023-02-07,0,100,100,33,0,0,0,0,0,0,0,0,100,100,-100,0,1,0,0,0,-89,0,0,0,-46,0,-15,0,-60
2023-02-08,0,-100,-16,0,100,-67,0,0,0,0,0,0,-44,3,92,2,62,0,0,-18,-81,0,100,-24,23,0,-30,0,99
2023-02-09,0,0,100,-33,-52,-33,100,-100,0,0,0,0,100,0,-28,0,0,0,100,0,1,0,-54,0,19,0,-6,0,2
2023-02-10,0,0,0,0,100,0,-43,58,0,0,0,0,0,-61,0,-2,0,0,1,0,-13,0,-46,0,-52,0,1,0,100
2023-02-13,0,-57,-15,0,100,0,-53,-68,0,0,0,0,1,1,0,0,0,100,0,-88,-100,0,0,65,0,0,-33,0,100
2023-02-14,0,0,-100,0,0,0,-4,0,0,0,0,0,57,3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2023-02-15,0,0,0,0,-59,0,0,0,0,0,0,0,1,0,100,0,-5,0,0,-12,-35,0,0,-50,40,0,0,0,-10
2023-02-16,0,0,-50,0,-100,0,0,0,0,0,0,0,0,-36,0,0,1,-45,0,0,0,0,0,1,86,0,-17,0,100
2023-02-17,0,0,0,0,0,0,1,3,0,0,0,0,0,-16,-50,0,-100,0,0,100,0,0,0,-11,0,0,0,0,100
2023-02-21,100,0,-57,0,0,0,0,0,0,0,100,0,0,7,-100,0,-12,0,-90,-19,-95,0,0,-23,34,0,0,100,0
2023-02-22,0,0,0,0,0,100,100,0,0,0,0,0,-52,-7,-100,79,0,0,1,0,100,0,0,0,-77,0,0,-86,100
2023-02-23,-100,100,0,0,0,0,-100,-98,0,0,-100,0,100,0,0,-79,0,-55,0,5,0,0,0,0,100,0,0,-14,100
2023-02-24,100,0,0,0,0,0,0,0,0,0,0,0,34,0,-14,0,0,0,0,-49,-29,0,0,0,0,0,0,1,-96
2023-02-27,0,0,-93,0,69,0,-1,-100,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,-1,100
2023-02-28,-100,52,0,0,0,-70,4,100,-2,0,0,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,-1
2023-03-01,0,81,0,0,-51,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,0,100,0,0,0,0,0,100
2023-03-02,0,0,0,0,0,0,1,-1,0,0,23,0,-60,0,100,0,0,0,0,0,0,0,-100,0,0,0,0,0,-3
2023-03-03,0,-34,-100,0,100,0,-1,0,0,0,-23,0,100,1,0,0,0,0,1,-100,-67,0,0,0,29,0,100,0,100
2023-03-06,0,100,0,47,-59,0,0,-100,0,0,0,0,0,-1,100,0,0,0,100,-36,-100,0,0,1,0,0,100,0,0
2023-03-07,0,0,-27,-47,0,-18,2,-1,0,0,0,0,0,0,-63,0,84,0,-48,0,100,0,0,12,0,0,-32,0,0
2023-03-08,0,86,-100,0,-34,0,0,0,0,0,0,0,0,3,-100,0,0,0,-53,0,-100,0,0,0,100,0,0,0,100
2023-03-09,0,0,-100,0,0,100,-2,100,0,0,22,0,0,100,0,0,0,0,0,0,0,0,0,-13,-43,0,-100,0,0
2023-03-10,0,83,-100,0,0,-100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,-62,0,0
2023-03-13,0,0,100,0,-100,0,0,0,0,0,0,0,0,-21,0,0,-84,0,2,0,0,0,0,0,16,0,-6,0,100
2023-03-14,0,100,0,0,0,73,0,-41,0,0,0,0,-100,-100,-100,100,0,0,0,0,-100,0,100,0,-19,0,100,4,100
2023-03-15,0,-67,0,0,89,0,0,0,0,0,-4,0,1,-53,0,-9,0,0,-2,0,0,0,0,0,0,0,1,0,1
2023-03-16,0,0,-100,100,0,-85,0,-100,0,0,-18,0,100,-29,-37,-39,0,0,42,0,-93,0,-39,100,100,0,-100,0,-41
2023-03-17,0,-31,0,-22,1,0,0,0,0,0,0,0,0,0,0,-52,0,0,0,-77,-59,0,-50,0,95,0,1,0,100
2023-03-20,0,0,-100,-31,83,0,0,0,1,0,0,0,-15,0,0,0,100,0,-42,-12,0,0,0,0,0,0,1,-4,100
2023-03-21,0,91,-33,-10,0,0,0,-97,-1,0,0,0,-24,0,0,0,1,0,1,0,0,0,0,0,0,0,-3,0,100
2023-03-22,0,0,-100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,-1,0,0,0,-11,-19,0,0,0,0,100
2023-03-23,0,-60,-100,100,0,-1,0,-63,0,0,0,0,-100,100,100,0,0,0,0,0,0,0,0,2,33,0,0,0,-43
2023-03-24,0,-100,-100,100,0,100,83,0,0,0,0,0,0,-19,0,0,0,-61,100,0,0,0,0,0,0,0,0,0,100
2023-03-27,0,-50,-100,0,100,2,-47,0,0,0,0,0,0,-81,0,0,-31,0,0,0,0,0,0,-27,25,0,1,0,100
2023-03-28,0,-69,-90,-67,100,-20,-36,0,0,0,0,0,2,0,0,0,-40,0,-100,0,100,0,0,0,12,0,2,0,100
2023-03-29,0,-23,-15,100,0,-27,0,1,0,0,0,0,100,1,-98,0,0,64,0,0,-100,0,0,0,0,0,-3,0,100
2023-03-30,0,0,0,-6,0,-55,0,0,0,0,0,0,100,0,-2,0,-30,0,0,0,0,0,1,-56,31,0,0,0,-71
2023-03-31,0,-67,-65,100,68,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,-1,0,-11,0,0,0,-100
2023-04-03,85,-36,-100,37,0,0,100,-3,0,0,0,0,0,2,0,100,0,0,0,0,0,0,0,0,-30,0,0,0,-3
