account_rewards,date
-1850.558859954821,2023-04-05
6862.007736206055,2023-04-06
8230.799965602811,2023-04-10
-1006.2240652465262,2023-04-11
10461.204333612463,2023-04-12
-11120.268936000764,2023-04-13
-4297.823247909546,2023-04-14
396.61153984069824,2023-04-17
-14886.096008300781,2023-04-18
-1207.979787826538,2023-04-19
-2478.717691421509,2023-04-20
7960.867753982544,2023-04-21
-6764.867845535278,2023-04-24
-13137.644298553467,2023-04-25
10460.588354110718,2023-04-26
6917.250356674194,2023-04-27
1458.7462272644043,2023-04-28
-12916.382457733154,2023-05-01
-8418.20230102539,2023-05-02
-6387.865898132324,2023-05-03
16128.531736373901,2023-05-04
-927.5179042816162,2023-05-05
-2328.759449005127,2023-05-08
-4533.323160171509,2023-05-09
-4340.760704040527,2023-05-10
2611.53311920166,2023-05-11
-2319.403799057007,2023-05-12
-15038.016807556152,2023-05-15
10398.389343261719,2023-05-16
-169.36663436889648,2023-05-17
-366.14686584472656,2023-05-18
-4517.4181480407715,2023-05-19
-1043.4470844268799,2023-05-22
-1686.9086093902588,2023-05-23
-6287.771938323975,2023-05-24
7478.886184692383,2023-05-25
-3544.0251121520996,2023-05-26
2964.774444580078,2023-05-30
11407.97480392456,2023-05-31
24039.444074630737,2023-06-01
-4601.293605804443,2023-06-02
-5935.504203796387,2023-06-05
2373.9923248291016,2023-06-06
9638.10375404358,2023-06-07
4851.442394256592,2023-06-08
1988.879264831543,2023-06-09
5677.810695648193,2023-06-12
-27179.740489959717,2023-06-13
12883.327453613281,2023-06-14
-10736.716449737549,2023-06-15
907.0141220092773,2023-06-16
7069.386283874512,2023-06-20
-1277.0557327270508,2023-06-21
-6795.222133636475,2023-06-22
4090.916374206543,2023-06-23
5682.971565246582,2023-06-26
-2798.8276977539062,2023-06-27
5356.809867858887,2023-06-28
11302.055225372314,2023-06-29
-1829.6688423156738,2023-06-30
-6599.681468963623,2023-07-03
-11090.206790924072,2023-07-05
