account_value,date,daily_return
1047453.847224748,2023-07-07,
1054239.4008254616,2023-07-10,0.006478140892500539
1060053.2720974304,2023-07-11,0.005514754302880842
1053565.578636539,2023-07-12,-0.006120157950227245
1048290.6678462633,2023-07-13,-0.0050067227871113396
1070319.9363496965,2023-07-14,0.021014465910197178
1075891.9470912488,2023-07-17,0.005205930070363518
1093004.7904752535,2023-07-18,0.01590572680673974
1095906.0950917238,2023-07-19,0.0026544299181057163
1099437.2640543513,2023-07-20,0.0032221455637875263
1101061.3751508477,2023-07-21,0.001477220346804753
1109924.1674739793,2023-07-24,0.008049317252562194
1114072.8170517497,2023-07-25,0.0037377774980897893
1115041.9939270339,2023-07-26,0.00086994033105392
1108685.3629379591,2023-07-27,-0.005700799632386455
1113449.0265086282,2023-07-28,0.00429667760566943
1121817.911630876,2023-07-31,0.007516181632929886
1126401.8459189008,2023-08-01,0.004086166070713659
1115786.4415534376,2023-08-02,-0.00942417167010523
1113434.9107421278,2023-08-03,-0.002107509756110626
1104246.7390729003,2023-08-04,-0.008252095906624124
1115859.182199487,2023-08-07,0.010516167008413513
1111819.0667057126,2023-08-08,-0.0036206320279686954
1107490.325533563,2023-08-09,-0.003893386344754335
1109542.7726586794,2023-08-10,0.0018532415839638272
1115885.4078751977,2023-08-11,0.005716440476936313
1118584.3040949681,2023-08-14,0.0024186141343218726
1105162.982535825,2023-08-15,-0.011998489081251673
1100398.9680711569,2023-08-16,-0.004310689500056419
1087489.4241868262,2023-08-17,-0.011731693920941422
1095545.0500108008,2023-08-18,0.007407544059564675
1097442.9748917823,2023-08-21,0.0017324024064211407
1093936.4617075704,2023-08-22,-0.003195166641398961
1098811.317424352,2023-08-23,0.004456251242574316
1083802.9420402425,2023-08-24,-0.013658737534019583
1092368.2683418172,2023-08-25,0.007903029203307543
1099068.3201007207,2023-08-28,0.0061335100561590306
1107651.9747790655,2023-08-29,0.007809937309045667
1112493.2711734136,2023-08-30,0.004370773947578455
1105586.4341906866,2023-08-31,-0.0062084303444298605
1109389.5289210638,2023-09-01,0.0034398891056954817
1114123.1820747121,2023-09-05,0.004266899073990693
1106606.668233026,2023-09-06,-0.006746573415417956
1107553.0270968566,2023-09-07,0.000855189916161958
1108410.7494882063,2023-09-08,0.0007744300908083535
1107677.3377889113,2023-09-11,-0.0006616786237716443
1105662.7180774321,2023-09-12,-0.0018187784860712597
1104734.8108996823,2023-09-13,-0.0008392316775981401
1111855.5073832944,2023-09-14,0.006445616100223317
1106468.8396396115,2023-09-15,-0.0048447551933795685
1106137.1201152415,2023-09-18,-0.0002998001502492187
1102783.9769606965,2023-09-19,-0.0030313991760765324
1101409.3834357637,2023-09-20,-0.0012464757864194542
1098066.0778344835,2023-09-21,-0.0030354794970521848
1101451.093150493,2023-09-22,0.003082706391117407
1109024.8705972398,2023-09-25,0.0068761813337381295
1096994.011283275,2023-09-26,-0.010848142032636177
1097662.352450725,2023-09-27,0.0006092477812782437
1101920.1615556444,2023-09-28,0.0038789789003996766
1095079.4968522752,2023-09-29,-0.00620794948856529
1103440.7713360705,2023-10-02,0.007635312785810644
1094048.6596885046,2023-10-03,-0.008511659068201394
1097184.0317893347,2023-10-04,0.002865843372746202
