account_rewards,date
-2506.1948746184353,2023-07-14
16098.921872381121,2023-07-17
-4022.7471942137927,2023-07-18
11795.384574050782,2023-07-19
1422.6300550748128,2023-07-20
4702.482640455244,2023-07-21
6972.722299709218,2023-07-24
-9910.22489059437,2023-07-25
-7219.466484067962,2023-07-26
10356.692225921666,2023-07-27
-6761.384433265775,2023-07-28
11405.304407709278,2023-07-31
-8421.169195522321,2023-08-01
-4809.758737194119,2023-08-02
-13666.97635049629,2023-08-03
9495.089497823734,2023-08-04
-1079.1026230717544,2023-08-07
-2407.496918342542,2023-08-08
-682.1907345408108,2023-08-09
7113.257504188456,2023-08-10
1305.192619182635,2023-08-11
-17518.207200956298,2023-08-14
-5882.019810829312,2023-08-15
-1227.1967787893955,2023-08-16
84.88512087240815,2023-08-17
-2541.4754915006924,2023-08-18
-4940.214735639631,2023-08-21
9188.83059567248,2023-08-22
-12779.386031875503,2023-08-23
10089.018387641874,2023-08-24
7259.788680744125,2023-08-25
12866.466029222589,2023-08-28
6346.1757974375505,2023-08-29
-2225.685282245511,2023-08-30
11818.998345237691,2023-08-31
-6842.001530372538,2023-09-01
-7787.6268628234975,2023-09-05
-8820.536305643152,2023-09-06
2838.2155526925344,2023-09-07
-1973.9247380294837,2023-09-08
-56.39166349801235,2023-09-11
-10420.805324466666,2023-09-12
11388.490038280375,2023-09-13
-7198.895717550069,2023-09-14
8362.619521072367,2023-09-15
-1005.2079462967813,2023-09-18
-6548.755595111754,2023-09-19
-16916.61839624797,2023-09-20
2013.3737184525235,2023-09-21
5551.634893480339,2023-09-22
-15456.59630785184,2023-09-25
8098.7350407276535,2023-09-26
6908.0470109881135,2023-09-27
-9800.697992538335,2023-09-28
-2251.2140892104944,2023-09-29
-7199.224475723342,2023-10-02
-7636.777019561734,2023-10-03
-2671.6124367065495,2023-10-04
10608.766689655255,2023-10-05
14329.968725776765,2023-10-06
4160.212208930869,2023-10-09
-7002.298143722466,2023-10-10
