account_rewards,date
-741.0351025505224,2022-10-11
21992.687355814036,2022-10-12
-6278.817461326602,2022-10-13
17164.973000394762,2022-10-14
9952.828951377887,2022-10-17
-4039.1765471686376,2022-10-18
1118.0614199294941,2022-10-19
20532.30887413025,2022-10-20
13048.451839447021,2022-10-21
9987.039018630981,2022-10-24
2783.0637035369873,2022-10-25
-1679.6245441436768,2022-10-26
21265.78842163086,2022-10-27
-1854.1749858856201,2022-10-28
-7047.860761642456,2022-10-31
-23177.184019088745,2022-11-01
-8030.1457805633545,2022-11-02
-2283.832389831543,2022-11-03
15711.687133789062,2022-11-04
16684.786659240723,2022-11-07
-26468.147272109985,2022-11-08
33969.51304244995,2022-11-09
-4680.4856243133545,2022-11-10
-7424.235479354858,2022-11-11
649.2873649597168,2022-11-14
-4052.9280014038086,2022-11-15
-4018.899782180786,2022-11-16
8339.5124168396,2022-11-17
-5477.892948150635,2022-11-18
10500.488748550415,2022-11-21
7814.705713272095,2022-11-22
6476.654468536377,2022-11-23
-8311.427337646484,2022-11-25
-5131.61071395874,2022-11-28
31211.316967010498,2022-11-29
-20477.26539993286,2022-11-30
457.55282974243164,2022-12-01
-20014.772367477417,2022-12-02
-3027.0114459991455,2022-12-05
1710.5805797576904,2022-12-06
5294.6459884643555,2022-12-07
-10428.619079589844,2022-12-08
10413.652606964111,2022-12-09
-3734.126962661743,2022-12-12
-3337.033721923828,2022-12-13
-22253.34115600586,2022-12-14
-7691.642692565918,2022-12-15
-4064.7801475524902,2022-12-16
-2553.2889766693115,2022-12-19
17082.775785446167,2022-12-20
-3163.248140335083,2022-12-21
2618.6584434509277,2022-12-22
2199.8192806243896,2022-12-23
-12020.600357055664,2022-12-27
11558.481868743896,2022-12-28
-1697.7495040893555,2022-12-29
-1484.2354640960693,2022-12-30
3866.099723815918,2023-01-03
-15250.169158935547,2023-01-04
19298.526807785034,2023-01-05
3359.5751247406006,2023-01-06
1588.3266410827637,2023-01-09
