account_value,date,daily_return
1159416.3846049118,2024-01-12,
1151744.755798462,2024-01-16,-0.006616802132793698
1147343.1012321627,2024-01-17,-0.003821727465342706
1151292.6780314713,2024-01-18,0.0034423676710715334
1161892.1122138235,2024-01-19,0.009206550501541955
1166253.7080299056,2024-01-22,0.003753873333188995
1165427.1608907129,2024-01-23,-0.0007087198381464654
1162385.4056385462,2024-01-24,-0.002609991730278427
1161374.9470297967,2024-01-25,-0.0008692973981331287
1160930.9400982172,2024-01-26,-0.00038231144275580053
1167563.0585155871,2024-01-29,0.005712758776856175
1172210.5747967511,2024-01-30,0.003980527002175549
1162665.0515088465,2024-01-31,-0.008143181347395556
1175775.6453253748,2024-02-01,0.011276329153881548
1180158.575385792,2024-02-02,0.0037276925048097542
1170774.1056241249,2024-02-05,-0.007951871856372583
1174599.281208752,2024-02-06,0.0032672191554732333
1179733.5397501758,2024-02-07,0.0043710724359888875
1180007.4591625216,2024-02-08,0.0002321875263493478
1179843.2952683757,2024-02-09,-0.00013912106476221542
1182615.9159170992,2024-02-12,0.0023499905960755463
1168588.7862133582,2024-02-13,-0.011861103435990228
1176096.0852779907,2024-02-14,0.006424243628897708
1187477.8911288036,2024-02-15,0.009677615624511304
1178994.603624703,2024-02-16,-0.0071439540621986986
1175621.979041474,2024-02-20,-0.0028605937405142834
1179340.7474042305,2024-02-21,0.003163234805960924
1193351.9996369577,2024-02-22,0.011880580115260386
1195687.7090558647,2024-02-23,0.001957267779848282
1194323.0976101633,2024-02-26,-0.0011412774718400076
1192747.643119944,2024-02-27,-0.0013191191674779557
1195595.129137507,2024-02-28,0.0023873331747816806
1196023.431620192,2024-02-29,0.0003582337132754798
1196074.3122132288,2024-03-01,4.254146841242701e-05
1189706.5279170366,2024-03-04,-0.005323903566166521
1177480.8663777222,2024-03-05,-0.010276199426020871
1179677.7304088387,2024-03-06,0.0018657322542103838
1185568.71402212,2024-03-07,0.004993722829064184
1183992.1683914324,2024-03-08,-0.0013297800558004225
1182426.5809095674,2024-03-11,-0.001322295470916779
1182822.8667931943,2024-03-12,0.0003351462915541781
1185274.806801625,2024-03-13,0.0020729562111683197
1179133.855337155,2024-03-14,-0.005181036017327445
1171841.1971514632,2024-03-15,-0.006184758543470559
1172336.02711081,2024-03-18,0.0004222670789775229
1178418.6821100966,2024-03-19,0.005188491062820155
1189209.6677777392,2024-03-20,0.00915717463704846
1192437.8514862622,2024-03-21,0.0027145622811455272
1180859.4988309734,2024-03-22,-0.009709816441047625
1178649.3968461636,2024-03-25,-0.0018716045278864835
1174140.2707576777,2024-03-26,-0.0038256720790350585
1190223.5968277003,2024-03-27,0.013697959665112114
1190870.1447989529,2024-03-28,0.000543215554603238
1180769.2622310075,2024-04-01,-0.008481934501473831
1172232.7309955833,2024-04-02,-0.007229635381340027
1164131.9100625503,2024-04-03,-0.006910590976378028
1153929.9303089492,2024-04-04,-0.008763594284648568
1160136.5181369751,2024-04-05,0.005378652260422889
1161457.1773101662,2024-04-08,0.001138365315240586
1161337.476886876,2024-04-09,-0.00010306055671160941
1148892.2859821748,2024-04-10,-0.010716257033280385
1148969.2068154458,2024-04-11,6.695217141716725e-05
1133550.8960557068,2024-04-12,-0.013419254988106588
