account_value,date,daily_return
1059516.7842985974,2023-07-14,
1057010.589423979,2023-07-17,-0.0023654130937411644
1073109.51129636,2023-07-18,0.01523061550514293
1069086.7641021463,2023-07-19,-0.0037486828248816106
1080882.148676197,2023-07-20,0.011033140592622503
1082304.7787312719,2023-07-21,0.0013161749935617362
1087007.261371727,2023-07-24,0.004344878386259854
1093979.9836714363,2023-07-25,0.006414605079003932
1084069.758780842,2023-07-26,-0.009058872226652026
1076850.292296774,2023-07-27,-0.006659595866032708
1087206.9845226957,2023-07-28,0.00961757850650935
1080445.6000894299,2023-07-31,-0.006219040651430419
1091850.9044971392,2023-08-01,0.010556111669819623
1083429.7353016168,2023-08-02,-0.007712746457265385
1078619.9765644227,2023-08-03,-0.004439382251083535
1064953.0002139264,2023-08-04,-0.012670798471606126
1074448.0897117502,2023-08-07,0.008915970466223833
1073368.9870886784,2023-08-08,-0.0010043320225561203
1070961.4901703359,2023-08-09,-0.002242935045917882
1070279.299435795,2023-08-10,-0.0006369890428388203
1077392.5569399835,2023-08-11,0.006646169376477884
1078697.7495591661,2023-08-14,0.001211436454405801
1061179.5423582098,2023-08-15,-0.016240144385315958
1055297.5225473805,2023-08-16,-0.005542907280098874
1054070.3257685911,2023-08-17,-0.0011628917462319643
1054155.2108894635,2023-08-18,8.053079457526202e-05
1051613.7353979629,2023-08-21,-0.00241091204145949
1046673.5206623232,2023-08-22,-0.004697746491272414
1055862.3512579957,2023-08-23,0.008779080022830676
1043082.9652261202,2023-08-24,-0.01210326896934022
1053171.983613762,2023-08-25,0.009672306733007341
1060431.7722945062,2023-08-28,0.006893260354148056
1073298.2383237288,2023-08-29,0.012133233240817276
1079644.4141211663,2023-08-30,0.0059127794780964305
1077418.7288389208,2023-08-31,-0.002061498446279897
1089237.7271841585,2023-09-01,0.010969735376676004
1082395.725653786,2023-09-05,-0.006281458454491906
1074608.0987909625,2023-09-06,-0.007194805631849377
1065787.5624853193,2023-09-07,-0.008208142406117225
1068625.7780380119,2023-09-08,0.002663021837179258
1066651.8532999824,2023-09-11,-0.0018471618209076057
1066595.4616364844,2023-09-12,-5.286791873426733e-05
1056174.6563120177,2023-09-13,-0.009770157195754359
1067563.146350298,2023-09-14,0.010782771552242165
1060364.250632748,2023-09-15,-0.006743297332959752
1068726.8701538204,2023-09-18,0.007886553621627712
1067721.6622075236,2023-09-19,-0.0009405658025161134
1061172.9066124118,2023-09-20,-0.0061333920879456105
1044256.2882161639,2023-09-21,-0.015941434511601904
1046269.6619346164,2023-09-22,0.001928045577673121
1051821.2968280967,2023-09-25,0.005306122403678337
1036364.7005202449,2023-09-26,-0.014695078293682773
1044463.4355609725,2023-09-27,0.007814560874817689
1051371.4825719607,2023-09-28,0.006613967302050883
1041570.7845794223,2023-09-29,-0.009321822167520644
1039319.5704902118,2023-10-02,-0.0021613644723335046
1032120.3460144885,2023-10-03,-0.006926863190238719
1024483.5689949268,2023-10-04,-0.007399114889122149
1021811.9565582202,2023-10-05,-0.0026077650413930398
1032420.7232478755,2023-10-06,0.010382308233492177
1046750.6919736522,2023-10-09,0.013879970057842694
1050910.904182583,2023-10-10,0.003974405979218165
1043908.6060388606,2023-10-11,-0.006663074972248939
