date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2024-01-12,22,-69,40,100,-71,0,100,0,0,-100,0,100,0,0,21,-100,-2,-100,89,-51,0,-100,28,0,100,-100,88,0,0
2024-01-16,0,100,-40,-3,-100,0,0,0,1,0,0,0,0,0,-21,0,0,0,100,-100,0,0,0,0,83,-5,100,2,100
2024-01-17,0,8,0,1,-100,0,100,0,0,-100,0,-100,0,0,0,100,1,100,0,-15,0,100,-28,100,0,0,-1,100,100
2024-01-18,0,0,0,0,0,0,-100,0,-1,-100,0,0,39,89,0,-22,-39,0,-36,-67,0,0,0,-14,100,0,0,1,0
2024-01-19,100,0,0,100,0,0,-100,0,100,-74,55,0,0,-4,0,-32,-100,0,0,-22,0,100,0,0,0,-100,-77,-58,-29
2024-01-22,-9,-46,100,100,-100,0,0,0,100,0,0,88,-39,-29,81,100,100,-68,-100,-90,0,2,0,-86,0,3,100,-45,67
2024-01-23,0,0,0,-21,79,0,0,0,-3,0,-55,-37,0,-56,100,0,-53,0,-53,0,0,-23,0,100,0,-44,-100,0,0
2024-01-24,0,-90,-100,-46,-99,0,0,100,-100,-78,0,100,100,0,-100,20,26,-100,0,20,100,12,100,46,79,-44,38,0,50
2024-01-25,0,0,0,0,57,100,100,-89,-97,0,0,-39,-75,0,0,-3,-100,-22,0,-40,100,-100,100,0,-100,99,0,0,-32
2024-01-26,-6,-13,99,100,-44,-100,100,-11,100,-100,0,-59,-25,0,-81,-100,19,21,100,43,-18,-100,100,62,0,44,-100,0,0
2024-01-29,-92,-86,-85,0,100,100,100,85,0,-33,26,-53,0,0,0,-17,0,-50,-7,58,57,100,46,-13,-28,100,-32,15,-72
2024-01-30,-15,-100,-14,-100,-75,0,-100,100,-25,100,-26,0,100,0,100,-29,-100,-66,15,-91,41,100,100,74,-37,0,100,-11,96
2024-01-31,100,0,0,-10,0,0,0,0,95,0,0,0,0,0,-17,0,0,0,0,0,0,0,-8,-100,-52,100,100,0,-100
2024-02-01,-11,0,0,-72,-60,-25,1,0,0,0,0,0,0,0,-83,80,-53,0,0,-94,-18,-100,0,100,100,0,0,100,0
