account_rewards,date
1351.6120687065413,2023-10-12
8514.104570403928,2023-10-13
3422.3208309328184,2023-10-16
-26110.16709630587,2023-10-17
-13760.508688095142,2023-10-18
-7226.896933937096,2023-10-19
-10562.817794937058,2023-10-20
3946.609819335863,2023-10-23
-8843.857123580878,2023-10-24
-7906.82029914856,2023-10-25
-19809.4113498535,2023-10-26
20915.831819549552,2023-10-27
-20484.92473124701,2023-10-30
15075.283837879193,2023-10-31
23997.463180541992,2023-11-01
18560.032920837402,2023-11-02
-6919.896213531494,2023-11-03
-4646.364231109619,2023-11-06
552.9579315185547,2023-11-07
-7132.840202331543,2023-11-08
17502.456661224365,2023-11-09
4105.0228843688965,2023-11-10
25731.599735260126,2023-11-13
5389.387447357178,2023-11-14
-3249.06689453125,2023-11-15
-1052.278035465395,2023-11-16
134.55630187992938,2023-11-17
-1013.2374420166016,2023-11-20
1758.8991741179489,2023-11-21
1476.9560089109,2023-11-22
-2164.053404617356,2023-11-24
152.63038208009675,2023-11-27
6445.28938293457,2023-11-28
8587.005004882812,2023-11-29
14794.161224365234,2023-11-30
738.6918640136719,2023-12-01
-4140.062103271484,2023-12-04
-1174.1214752197266,2023-12-05
3167.418212890625,2023-12-06
4358.404159545898,2023-12-07
8255.383529663086,2023-12-08
6681.042709350586,2023-12-11
21587.011032104492,2023-12-12
14633.430938720703,2023-12-13
-3544.9986267089844,2023-12-14
528.0637359619141,2023-12-15
13217.455825805664,2023-12-18
-12519.098587036133,2023-12-19
9253.392105102539,2023-12-20
-5277.230758666992,2023-12-21
5319.4000244140625,2023-12-22
5902.417221069336,2023-12-26
5128.425521850586,2023-12-27
-1042.8720092773438,2023-12-28
7185.078506469727,2023-12-29
-10110.451583862305,2024-01-02
3262.414321899414,2024-01-03
2496.873092651367,2024-01-04
12565.059051513672,2024-01-05
-6134.445114135742,2024-01-08
1766.0657501220703,2024-01-09
-2783.978729248047,2024-01-10
